request_id,request_type,requester_user_id,target_user_id,requested_dataset,requested_privilege,business_purpose,contains_sensitive_data,created_at,requested_until,status
ARQ_00001,REVOKE,USR_0022,USR_0026,control_results,EXPORT,Báo cáo quản trị,false,2026-01-05T09:41:45,2027-01-05,APPROVED
ARQ_00002,REVOKE,USR_0032,USR_0032,drivers,UPDATE,Phân tích chất lượng dịch vụ,true,2026-01-02T01:42:18,2026-02-01,APPROVED
ARQ_00003,GRANT,USR_0056,USR_0046,db_audit_events,UPDATE,Hỗ trợ khách hàng,false,2026-01-09T02:46:15,2026-04-09,APPROVED
ARQ_00004,CHANGE,USR_0054,USR_0038,trips,UPDATE,Điều tra sự cố,false,2026-01-12T12:49:36,2026-04-12,APPROVED
ARQ_00005,GRANT,USR_0053,USR_0025,customers,UPDATE,Bảo trì pipeline,true,2026-01-08T22:27:01,2026-04-08,PENDING
ARQ_00006,GRANT,USR_0001,USR_0001,control_results,EXPORT,Bảo trì pipeline,false,2026-01-06T18:35:22,2026-02-05,APPROVED
ARQ_00007,REVOKE,USR_0031,USR_0057,trips,SELECT,Phân tích chất lượng dịch vụ,false,2026-01-13T14:28:15,2027-01-13,REJECTED
ARQ_00008,GRANT,USR_0036,USR_0016,control_results,UPDATE,Điều tra sự cố,false,2026-01-11T20:03:32,2026-07-10,PENDING
ARQ_00009,REVOKE,USR_0046,USR_0003,trips,SELECT,Phân tích chất lượng dịch vụ,false,2026-01-01T06:26:30,2027-01-01,APPROVED
ARQ_00010,GRANT,USR_0032,USR_0032,customers,UPDATE,Hỗ trợ khách hàng,true,2026-01-06T16:05:26,2026-02-05,REJECTED
ARQ_00011,GRANT,USR_0022,USR_0022,customers,ADMIN,Hỗ trợ khách hàng,true,2026-01-10T09:11:53,2026-04-10,APPROVED
ARQ_00012,REVOKE,USR_0051,USR_0001,control_results,ADMIN,Báo cáo quản trị,false,2026-01-07T21:40:38,2026-04-07,APPROVED
ARQ_00013,GRANT,USR_0023,USR_0023,control_results,ADMIN,Phân tích chất lượng dịch vụ,false,2026-01-13T13:14:33,2026-02-12,REJECTED
ARQ_00014,REVOKE,USR_0001,USR_0011,control_results,ADMIN,Bảo trì pipeline,false,2026-01-11T07:45:23,2026-07-10,REJECTED
ARQ_00015,CHANGE,USR_0008,USR_0057,drivers,SELECT,Hỗ trợ khách hàng,true,2026-01-02T10:45:31,2026-07-01,APPROVED
ARQ_00016,REVOKE,USR_0004,USR_0004,customers,UPDATE,Hỗ trợ khách hàng,true,2026-01-06T10:09:26,2026-02-05,APPROVED
ARQ_00017,GRANT,USR_0037,USR_0037,db_audit_events,EXPORT,Hỗ trợ khách hàng,false,2026-01-09T11:58:59,2027-01-09,REJECTED
ARQ_00018,CHANGE,USR_0004,USR_0004,customers,SELECT,Hỗ trợ khách hàng,true,2026-01-12T18:12:49,2026-04-12,PENDING
ARQ_00019,REVOKE,USR_0030,USR_0030,control_results,EXPORT,Báo cáo quản trị,false,2026-01-02T21:46:48,2026-07-01,REJECTED
ARQ_00020,GRANT,USR_0039,USR_0012,finance_reconciliation,ADMIN,Điều tra sự cố,true,2026-01-08T17:38:24,2026-07-07,PENDING
ARQ_00021,CHANGE,USR_0045,USR_0045,finance_reconciliation,EXPORT,Bảo trì pipeline,true,2026-01-12T15:46:38,2026-07-11,APPROVED
ARQ_00022,GRANT,USR_0049,USR_0049,trips,ADMIN,Báo cáo quản trị,false,2026-01-15T05:27:38,2026-02-14,APPROVED
ARQ_00023,CHANGE,USR_0003,USR_0040,customers,UPDATE,Đối soát vận hành,true,2026-01-09T05:50:14,2026-02-08,REJECTED
ARQ_00024,GRANT,USR_0019,USR_0030,finance_reconciliation,SELECT,Phân tích chất lượng dịch vụ,true,2026-01-03T02:48:22,2026-04-03,APPROVED
ARQ_00025,GRANT,USR_0002,USR_0002,finance_reconciliation,SELECT,Báo cáo quản trị,true,2026-01-13T00:07:16,2026-04-13,APPROVED
ARQ_00026,REVOKE,USR_0045,USR_0045,trips,SELECT,Bảo trì pipeline,false,2026-01-11T01:49:24,2026-04-11,APPROVED
ARQ_00027,CHANGE,USR_0059,USR_0059,db_audit_events,SELECT,Báo cáo quản trị,false,2026-01-10T04:10:17,2026-02-09,APPROVED
ARQ_00028,CHANGE,USR_0050,USR_0050,drivers,EXPORT,Báo cáo quản trị,true,2026-01-01T07:33:45,2026-06-30,APPROVED
ARQ_00029,GRANT,USR_0015,USR_0015,finance_reconciliation,ADMIN,Hỗ trợ khách hàng,true,2026-01-02T10:14:12,2027-01-02,APPROVED
ARQ_00030,REVOKE,USR_0010,USR_0010,customers,EXPORT,Bảo trì pipeline,true,2026-01-04T08:11:57,2026-02-03,APPROVED
ARQ_00031,CHANGE,USR_0039,USR_0053,control_results,UPDATE,Hỗ trợ khách hàng,false,2026-01-09T15:03:49,2027-01-09,APPROVED
ARQ_00032,CHANGE,USR_0059,USR_0059,customers,UPDATE,Hỗ trợ khách hàng,true,2026-01-10T21:12:23,2026-04-10,REJECTED
ARQ_00033,REVOKE,USR_0006,USR_0048,control_results,EXPORT,Phân tích chất lượng dịch vụ,false,2026-01-08T20:33:20,2026-07-07,APPROVED
ARQ_00034,REVOKE,USR_0060,USR_0054,customers,UPDATE,Báo cáo quản trị,true,2026-01-09T22:35:08,2027-01-09,APPROVED
ARQ_00035,REVOKE,USR_0017,USR_0017,control_results,EXPORT,Điều tra sự cố,false,2026-01-09T11:31:33,2026-04-09,APPROVED
ARQ_00036,CHANGE,USR_0004,USR_0004,drivers,EXPORT,Phân tích chất lượng dịch vụ,true,2026-01-10T02:18:53,2026-04-10,APPROVED
ARQ_00037,GRANT,USR_0050,USR_0048,control_results,SELECT,Đối soát vận hành,false,2026-01-14T00:49:43,2027-01-14,REJECTED
ARQ_00038,CHANGE,USR_0014,USR_0053,drivers,EXPORT,Hỗ trợ khách hàng,true,2026-01-13T16:30:08,2026-02-12,PENDING
ARQ_00039,CHANGE,USR_0043,USR_0043,db_audit_events,SELECT,Phân tích chất lượng dịch vụ,false,2026-01-05T21:40:39,2026-07-04,APPROVED
ARQ_00040,GRANT,USR_0046,USR_0046,control_results,ADMIN,Bảo trì pipeline,false,2026-01-04T05:33:34,2026-07-03,APPROVED
ARQ_00041,REVOKE,USR_0054,USR_0054,drivers,ADMIN,Phân tích chất lượng dịch vụ,true,2026-01-13T09:41:57,2026-02-12,PENDING
ARQ_00042,GRANT,USR_0028,USR_0028,finance_reconciliation,SELECT,Bảo trì pipeline,true,2026-01-05T14:19:02,2026-07-04,APPROVED
ARQ_00043,GRANT,USR_0038,USR_0038,db_audit_events,SELECT,Báo cáo quản trị,false,2026-01-06T16:46:34,2027-01-06,APPROVED
ARQ_00044,GRANT,USR_0011,USR_0011,trips,UPDATE,Hỗ trợ khách hàng,false,2026-01-03T02:25:03,2026-07-02,REJECTED
ARQ_00045,REVOKE,USR_0054,USR_0036,db_audit_events,SELECT,Phân tích chất lượng dịch vụ,false,2026-01-07T11:02:56,2026-07-06,APPROVED
ARQ_00046,CHANGE,USR_0040,USR_0040,db_audit_events,UPDATE,Hỗ trợ khách hàng,false,2026-01-09T11:03:56,2027-01-09,APPROVED
ARQ_00047,CHANGE,USR_0012,USR_0012,finance_reconciliation,EXPORT,Phân tích chất lượng dịch vụ,true,2026-01-12T21:00:32,2026-04-12,APPROVED
ARQ_00048,REVOKE,USR_0020,USR_0020,customers,ADMIN,Bảo trì pipeline,true,2026-01-11T21:10:03,2026-04-11,REJECTED
ARQ_00049,GRANT,USR_0053,USR_0035,control_results,ADMIN,Phân tích chất lượng dịch vụ,false,2026-01-10T06:44:38,2026-02-09,APPROVED
ARQ_00050,GRANT,USR_0008,USR_0008,trips,UPDATE,Hỗ trợ khách hàng,false,2026-01-06T23:41:19,2026-07-05,REJECTED
ARQ_00051,CHANGE,USR_0023,USR_0051,trips,ADMIN,Phân tích chất lượng dịch vụ,false,2026-01-11T07:29:34,2026-07-10,PENDING
ARQ_00052,CHANGE,USR_0034,USR_0014,drivers,UPDATE,Điều tra sự cố,true,2026-01-04T01:31:18,2027-01-04,APPROVED
ARQ_00053,GRANT,USR_0019,USR_0004,customers,EXPORT,Báo cáo quản trị,true,2026-01-02T21:52:45,2026-07-01,APPROVED
ARQ_00054,REVOKE,USR_0024,USR_0024,finance_reconciliation,SELECT,Bảo trì pipeline,true,2026-01-05T23:02:56,2027-01-05,APPROVED
ARQ_00055,CHANGE,USR_0012,USR_0012,db_audit_events,EXPORT,Điều tra sự cố,false,2026-01-13T11:50:37,2026-02-12,APPROVED
ARQ_00056,GRANT,USR_0059,USR_0013,trips,SELECT,Điều tra sự cố,false,2026-01-09T14:42:32,2026-07-08,APPROVED
ARQ_00057,CHANGE,USR_0026,USR_0059,finance_reconciliation,UPDATE,Bảo trì pipeline,true,2026-01-05T01:51:27,2027-01-05,REJECTED
ARQ_00058,GRANT,USR_0001,USR_0001,drivers,SELECT,Hỗ trợ khách hàng,true,2026-01-04T08:11:24,2026-04-04,PENDING
ARQ_00059,CHANGE,USR_0057,USR_0057,customers,UPDATE,Hỗ trợ khách hàng,true,2026-01-03T07:33:26,2026-04-03,PENDING
ARQ_00060,GRANT,USR_0016,USR_0016,drivers,ADMIN,Hỗ trợ khách hàng,true,2026-01-08T05:54:49,2026-04-08,APPROVED
ARQ_00061,REVOKE,USR_0051,USR_0051,drivers,SELECT,Báo cáo quản trị,true,2026-01-09T16:52:09,2026-02-08,APPROVED
ARQ_00062,REVOKE,USR_0017,USR_0017,trips,EXPORT,Báo cáo quản trị,false,2026-01-04T12:47:07,2027-01-04,APPROVED
ARQ_00063,GRANT,USR_0041,USR_0041,control_results,ADMIN,Đối soát vận hành,false,2026-01-05T13:51:02,2026-02-04,PENDING
ARQ_00064,GRANT,USR_0055,USR_0001,control_results,EXPORT,Báo cáo quản trị,false,2026-01-07T09:25:11,2026-02-06,APPROVED
