approval_id,request_id,approval_stage,approver_user_id,decision,decision_at,approval_channel,comment
APR_00001,ARQ_00001,DATA_OWNER,USR_0022,APPROVED,2026-01-06T06:41:45,EMAIL,Đúng phạm vi công việc
APR_00002,ARQ_00002,DATA_OWNER,USR_0004,APPROVED,2026-01-03T08:42:18,WORKFLOW_SYSTEM,Đủ căn cứ
APR_00003,ARQ_00003,MANAGER,USR_0056,APPROVED,2026-01-10T03:46:15,WORKFLOW_SYSTEM,Cần bổ sung phạm vi
APR_00004,ARQ_00004,DATA_CONTROL,USR_0053,APPROVED,2026-01-12T22:49:36,WORKFLOW_SYSTEM,Đủ căn cứ
APR_00006,ARQ_00006,DATA_OWNER,USR_0015,APPROVED,2026-01-07T03:35:22,WORKFLOW_SYSTEM,Cần bổ sung phạm vi
APR_00007,ARQ_00007,DATA_OWNER,USR_0049,REJECTED,2026-01-14T02:28:15,EMAIL,Đúng phạm vi công việc
APR_00009,ARQ_00009,MANAGER,USR_0039,APPROVED,2026-01-02T17:26:30,WORKFLOW_SYSTEM,Đủ căn cứ
APR_00010,ARQ_00010,DATA_OWNER,USR_0054,REJECTED,2026-01-06T23:05:26,CHAT,Đủ căn cứ
APR_00011,ARQ_00011,MANAGER,USR_0054,APPROVED,2026-01-11T00:11:53,WORKFLOW_SYSTEM,Đúng phạm vi công việc
APR_00012,ARQ_00012,DATA_OWNER,USR_0053,APPROVED,2026-01-08T12:40:38,WORKFLOW_SYSTEM,
APR_00013,ARQ_00013,MANAGER,USR_0049,REJECTED,2026-01-14T11:14:33,WORKFLOW_SYSTEM,Đủ căn cứ
APR_00014,ARQ_00014,MANAGER,USR_0015,REJECTED,2026-01-12T07:45:23,EMAIL,Cần bổ sung phạm vi
APR_00015,ARQ_00015,DATA_OWNER,USR_0008,APPROVED,2026-01-03T08:45:31,EMAIL,Đủ căn cứ
APR_00016,ARQ_00016,DATA_OWNER,USR_0004,APPROVED,2026-01-07T02:09:26,WORKFLOW_SYSTEM,Đủ căn cứ
APR_00017,ARQ_00017,MANAGER,USR_0039,REJECTED,2026-01-10T01:58:59,EMAIL,Đủ căn cứ
APR_00019,ARQ_00019,DATA_OWNER,USR_0004,REJECTED,2026-01-03T11:46:48,WORKFLOW_SYSTEM,Không phù hợp quyền hạn
APR_00021,ARQ_00021,DATA_CONTROL,USR_0054,APPROVED,2026-01-13T05:46:38,EMAIL,Không phù hợp quyền hạn
APR_00022,ARQ_00022,DATA_OWNER,USR_0039,APPROVED,2026-01-15T08:27:38,WORKFLOW_SYSTEM,Đúng phạm vi công việc
APR_00023,ARQ_00023,DATA_OWNER,USR_0054,REJECTED,2026-01-09T11:50:14,EMAIL,Cần bổ sung phạm vi
APR_00024,ARQ_00024,DATA_OWNER,USR_0059,APPROVED,2026-01-03T14:48:22,EMAIL,
APR_00025,ARQ_00025,DATA_OWNER,USR_0015,APPROVED,2026-01-13T03:07:16,WORKFLOW_SYSTEM,
APR_00026,ARQ_00026,MANAGER,USR_0039,APPROVED,2026-01-12T01:49:24,WORKFLOW_SYSTEM,Đủ căn cứ
APR_00027,ARQ_00027,DATA_OWNER,USR_0015,APPROVED,2026-01-10T10:10:17,WORKFLOW_SYSTEM,Đúng phạm vi công việc
APR_00028,ARQ_00028,DATA_OWNER,USR_0059,APPROVED,2026-01-02T02:33:45,EMAIL,Không phù hợp quyền hạn
APR_00029,ARQ_00029,DATA_CONTROL,USR_0054,APPROVED,2026-01-03T13:14:12,WORKFLOW_SYSTEM,Đủ căn cứ
APR_00030,ARQ_00030,DATA_OWNER,USR_0010,APPROVED,2026-01-05T04:11:57,CHAT,Đủ căn cứ
APR_00031,ARQ_00031,DATA_CONTROL,USR_0049,APPROVED,2026-01-10T16:03:49,WORKFLOW_SYSTEM,Cần bổ sung phạm vi
APR_00032,ARQ_00032,MANAGER,USR_0049,REJECTED,2026-01-11T22:12:23,WORKFLOW_SYSTEM,Cần bổ sung phạm vi
APR_00033,ARQ_00033,MANAGER,USR_0049,APPROVED,2026-01-10T01:33:20,WORKFLOW_SYSTEM,Đủ căn cứ
APR_00034,ARQ_00034,MANAGER,USR_0054,APPROVED,2026-01-11T05:35:08,WORKFLOW_SYSTEM,
APR_00035,ARQ_00035,DATA_CONTROL,USR_0053,APPROVED,2026-01-10T09:31:33,EMAIL,
APR_00036,ARQ_00036,MANAGER,USR_0059,APPROVED,2026-01-11T11:18:53,WORKFLOW_SYSTEM,Không phù hợp quyền hạn
APR_00037,ARQ_00037,MANAGER,USR_0053,REJECTED,2026-01-14T01:49:43,WORKFLOW_SYSTEM,Đúng phạm vi công việc
APR_00039,ARQ_00039,DATA_OWNER,USR_0053,APPROVED,2026-01-06T01:40:39,EMAIL,Đủ căn cứ
APR_00040,ARQ_00040,MANAGER,USR_0004,APPROVED,2026-01-05T09:33:34,WORKFLOW_SYSTEM,Cần bổ sung phạm vi
APR_00041,ARQ_00041,MANAGER,USR_0049,PENDING,,WORKFLOW_SYSTEM,Không phù hợp quyền hạn
APR_00042,ARQ_00042,DATA_CONTROL,USR_0015,APPROVED,2026-01-05T17:19:02,WORKFLOW_SYSTEM,Đủ căn cứ
APR_00043,ARQ_00043,DATA_CONTROL,USR_0004,APPROVED,2026-01-08T03:46:34,WORKFLOW_SYSTEM,Cần bổ sung phạm vi
APR_00044,ARQ_00044,DATA_OWNER,USR_0039,REJECTED,2026-01-03T05:25:03,WORKFLOW_SYSTEM,Không phù hợp quyền hạn
APR_00045,ARQ_00045,DATA_OWNER,USR_0053,APPROVED,2026-01-07T18:02:56,WORKFLOW_SYSTEM,Không phù hợp quyền hạn
APR_00046,ARQ_00046,DATA_OWNER,USR_0015,APPROVED,2026-01-10T18:03:56,EMAIL,Không phù hợp quyền hạn
APR_00047,ARQ_00047,DATA_OWNER,USR_0054,APPROVED,2026-01-13T13:00:32,WORKFLOW_SYSTEM,Đúng phạm vi công việc
APR_00048,ARQ_00048,DATA_OWNER,USR_0015,REJECTED,2026-01-12T22:10:03,WORKFLOW_SYSTEM,Đúng phạm vi công việc
APR_00049,ARQ_00049,DATA_OWNER,USR_0015,APPROVED,2026-01-11T10:44:38,WORKFLOW_SYSTEM,Cần bổ sung phạm vi
APR_00050,ARQ_00050,MANAGER,USR_0053,REJECTED,2026-01-07T08:41:19,WORKFLOW_SYSTEM,
APR_00052,ARQ_00052,MANAGER,USR_0054,APPROVED,2026-01-05T08:31:18,WORKFLOW_SYSTEM,Không phù hợp quyền hạn
APR_00053,ARQ_00053,DATA_CONTROL,USR_0019,APPROVED,2026-01-03T08:52:45,EMAIL,Cần bổ sung phạm vi
APR_00054,ARQ_00054,DATA_CONTROL,USR_0015,APPROVED,2026-01-06T00:02:56,WORKFLOW_SYSTEM,Đúng phạm vi công việc
APR_00055,ARQ_00055,MANAGER,USR_0039,APPROVED,2026-01-13T21:50:37,EMAIL,
APR_00056,ARQ_00056,MANAGER,USR_0039,APPROVED,2026-01-10T08:42:32,WORKFLOW_SYSTEM,
APR_00057,ARQ_00057,MANAGER,USR_0049,REJECTED,2026-01-05T17:51:27,EMAIL,
APR_00060,ARQ_00060,DATA_OWNER,USR_0039,APPROVED,2026-01-09T01:54:49,WORKFLOW_SYSTEM,Đúng phạm vi công việc
APR_00061,ARQ_00061,DATA_OWNER,USR_0049,APPROVED,2026-01-10T18:52:09,WORKFLOW_SYSTEM,Không phù hợp quyền hạn
APR_00062,ARQ_00062,DATA_CONTROL,USR_0049,APPROVED,2026-01-05T05:47:07,WORKFLOW_SYSTEM,Đúng phạm vi công việc
APR_00064,ARQ_00064,MANAGER,USR_0053,APPROVED,2026-01-07T19:25:11,EMAIL,Không phù hợp quyền hạn
APR_00065,ARQ_00065,DATA_CONTROL,USR_0049,APPROVED,2026-01-05T13:41:00,EMAIL,Đúng phạm vi công việc
APR_00066,ARQ_00066,DATA_CONTROL,USR_0059,APPROVED,2026-01-16T17:38:26,WORKFLOW_SYSTEM,
APR_00067,ARQ_00067,DATA_OWNER,USR_0039,APPROVED,2026-01-07T23:50:43,EMAIL,Đủ căn cứ
APR_00068,ARQ_00068,DATA_CONTROL,USR_0004,REJECTED,2026-01-07T18:45:43,EMAIL,Cần bổ sung phạm vi
APR_00069,ARQ_00069,DATA_OWNER,USR_0015,APPROVED,2026-01-09T04:50:56,EMAIL,Đủ căn cứ
APR_00070,ARQ_00070,DATA_OWNER,USR_0053,APPROVED,2026-01-11T06:31:57,EMAIL,Đủ căn cứ
APR_00071,ARQ_00071,DATA_CONTROL,USR_0054,APPROVED,2026-01-07T05:11:49,WORKFLOW_SYSTEM,Đủ căn cứ
APR_00072,ARQ_00072,DATA_OWNER,USR_0039,APPROVED,2026-01-09T08:00:17,WORKFLOW_SYSTEM,Đủ căn cứ
APR_00073,ARQ_00073,MANAGER,USR_0059,APPROVED,2026-01-08T16:50:41,WORKFLOW_SYSTEM,Đủ căn cứ
APR_00074,ARQ_00074,DATA_CONTROL,USR_0039,APPROVED,2026-01-06T16:00:09,WORKFLOW_SYSTEM,Đúng phạm vi công việc
APR_00076,ARQ_00076,MANAGER,USR_0015,APPROVED,2026-01-13T07:04:59,WORKFLOW_SYSTEM,Không phù hợp quyền hạn
APR_00077,ARQ_00077,MANAGER,USR_0039,APPROVED,2026-01-12T22:49:20,WORKFLOW_SYSTEM,Không phù hợp quyền hạn
APR_00078,ARQ_00078,MANAGER,USR_0004,APPROVED,2026-01-08T02:22:54,CHAT,
APR_00079,ARQ_00079,MANAGER,USR_0049,REJECTED,2026-01-04T19:39:53,WORKFLOW_SYSTEM,Cần bổ sung phạm vi
