change_request_id,rfc_code,title,change_type,requester_user_id,created_at,risk_level,rollback_plan_present,status
RFC_00001,RFC-2026-0001,Update Airflow DAG,STANDARD,USR_0047,2026-01-06T10:25:34,LOW,true,DEPLOYED
RFC_00002,RFC-2026-0002,Update Airflow DAG,MAJOR,USR_0038,2026-01-05T10:01:24,LOW,true,APPROVED
RFC_00003,RFC-2026-0003,Adjust PII masking policy,EMERGENCY,USR_0006,2026-01-15T15:23:56,MEDIUM,true,CLOSED
RFC_00004,RFC-2026-0004,Update Airflow DAG,STANDARD,USR_0011,2026-01-05T00:22:35,HIGH,true,APPROVED
RFC_00005,RFC-2026-0005,Deploy dashboard change,MAJOR,USR_0051,2026-01-15T07:39:29,LOW,false,DEPLOYED
RFC_00006,RFC-2026-0006,Deploy dashboard change,STANDARD,USR_0017,2026-01-07T13:26:04,LOW,true,CLOSED
RFC_00007,RFC-2026-0007,Update Airflow DAG,EMERGENCY,USR_0017,2026-01-12T05:06:24,MEDIUM,true,APPROVED
RFC_00008,RFC-2026-0008,Add DB index,STANDARD,USR_0016,2026-01-05T04:24:39,LOW,true,DEPLOYED
RFC_00009,RFC-2026-0009,Modify access control mapping,EMERGENCY,USR_0050,2026-01-08T11:45:20,LOW,false,CLOSED
RFC_00010,RFC-2026-0010,Update Airflow DAG,MAJOR,USR_0060,2026-01-15T00:40:57,HIGH,true,DEPLOYED
RFC_00011,RFC-2026-0011,Add DB index,STANDARD,USR_0032,2026-01-04T00:38:11,HIGH,true,DEPLOYED
RFC_00012,RFC-2026-0012,Adjust PII masking policy,EMERGENCY,USR_0005,2026-01-03T14:45:26,MEDIUM,true,CLOSED
RFC_00013,RFC-2026-0013,Update Airflow DAG,STANDARD,USR_0039,2026-01-11T22:00:13,LOW,true,DEPLOYED
RFC_00014,RFC-2026-0014,Update Airflow DAG,MAJOR,USR_0043,2026-01-08T05:59:47,HIGH,true,DEPLOYED
RFC_00015,RFC-2026-0015,Deploy dashboard change,MAJOR,USR_0046,2026-01-02T20:19:40,MEDIUM,true,DEPLOYED
RFC_00016,RFC-2026-0016,Update Airflow DAG,MAJOR,USR_0014,2026-01-06T19:26:16,HIGH,true,CLOSED
RFC_00017,RFC-2026-0017,Modify access control mapping,EMERGENCY,USR_0004,2026-01-12T10:38:04,LOW,true,DEPLOYED
RFC_00018,RFC-2026-0018,Add DB index,MAJOR,USR_0032,2026-01-11T13:29:41,MEDIUM,true,CLOSED
RFC_00019,RFC-2026-0019,Add DB index,STANDARD,USR_0008,2026-01-02T01:25:48,LOW,true,CLOSED
RFC_00020,RFC-2026-0020,Adjust PII masking policy,EMERGENCY,USR_0049,2026-01-11T21:13:47,HIGH,true,DEPLOYED
RFC_00021,RFC-2026-0021,Adjust PII masking policy,MAJOR,USR_0046,2026-01-04T18:17:54,MEDIUM,true,DEPLOYED
RFC_00022,RFC-2026-0022,Adjust PII masking policy,MAJOR,USR_0036,2026-01-14T13:25:33,MEDIUM,true,DEPLOYED
RFC_00023,RFC-2026-0023,Deploy dashboard change,EMERGENCY,USR_0020,2026-01-12T23:35:45,LOW,true,DEPLOYED
RFC_00024,RFC-2026-0024,Add DB index,MAJOR,USR_0050,2026-01-03T15:26:51,MEDIUM,true,DEPLOYED
RFC_00025,RFC-2026-0025,Update trip validation rule,EMERGENCY,USR_0026,2026-01-13T21:08:44,LOW,true,DEPLOYED
RFC_00026,RFC-2026-0026,Update trip validation rule,STANDARD,USR_0011,2026-01-09T00:13:37,LOW,true,APPROVED
RFC_00027,RFC-2026-0027,Add DB index,MAJOR,USR_0049,2026-01-06T07:22:27,MEDIUM,true,APPROVED
RFC_00028,RFC-2026-0028,Update Airflow DAG,STANDARD,USR_0035,2026-01-09T17:39:36,HIGH,true,CLOSED
RFC_00029,RFC-2026-0029,Add DB index,EMERGENCY,USR_0002,2026-01-02T11:12:52,LOW,true,APPROVED
RFC_00030,RFC-2026-0030,Update trip validation rule,STANDARD,USR_0013,2026-01-14T19:32:27,HIGH,true,DEPLOYED
RFC_00031,RFC-2026-0031,Deploy dashboard change,MAJOR,USR_0054,2026-01-11T08:09:30,LOW,true,DEPLOYED
RFC_00032,RFC-2026-0032,Update Airflow DAG,MAJOR,USR_0016,2026-01-07T19:36:06,HIGH,true,CLOSED
RFC_00033,RFC-2026-0033,Update Airflow DAG,STANDARD,USR_0015,2026-01-10T13:12:47,MEDIUM,true,DEPLOYED
RFC_00034,RFC-2026-0034,Deploy dashboard change,MAJOR,USR_0054,2026-01-02T12:39:06,LOW,false,DEPLOYED
RFC_00035,RFC-2026-0035,Update Airflow DAG,EMERGENCY,USR_0045,2026-01-06T12:34:19,MEDIUM,true,APPROVED
RFC_00036,RFC-2026-0036,Update trip validation rule,STANDARD,USR_0028,2026-01-04T11:03:53,HIGH,true,CLOSED
RFC_00037,RFC-2026-0037,Add DB index,MAJOR,USR_0030,2026-01-03T03:53:10,LOW,true,DEPLOYED
RFC_00038,RFC-2026-0038,Update trip validation rule,STANDARD,USR_0023,2026-01-04T00:14:32,LOW,false,CLOSED
RFC_00039,RFC-2026-0039,Adjust PII masking policy,EMERGENCY,USR_0055,2026-01-05T12:16:28,HIGH,true,CLOSED
RFC_00040,RFC-2026-0040,Modify access control mapping,EMERGENCY,USR_0060,2026-01-08T08:32:01,LOW,true,DEPLOYED
RFC_00041,RFC-2026-0041,Adjust PII masking policy,MAJOR,USR_0028,2026-01-06T13:19:59,MEDIUM,true,DEPLOYED
RFC_00042,RFC-2026-0042,Deploy dashboard change,MAJOR,USR_0015,2026-01-12T07:01:42,HIGH,true,DEPLOYED
RFC_00043,RFC-2026-0043,Update Airflow DAG,EMERGENCY,USR_0053,2026-01-12T07:24:51,MEDIUM,true,CLOSED
RFC_00044,RFC-2026-0044,Update trip validation rule,STANDARD,USR_0014,2026-01-12T11:43:29,HIGH,true,CLOSED
RFC_00045,RFC-2026-0045,Update trip validation rule,STANDARD,USR_0010,2026-01-10T01:14:55,MEDIUM,true,DEPLOYED
RFC_00046,RFC-2026-0046,Update trip validation rule,EMERGENCY,USR_0012,2026-01-13T20:12:19,MEDIUM,true,CLOSED
RFC_00047,RFC-2026-0047,Update trip validation rule,MAJOR,USR_0046,2026-01-04T22:48:08,LOW,false,DEPLOYED
RFC_00048,RFC-2026-0048,Update trip validation rule,EMERGENCY,USR_0017,2026-01-12T21:57:19,LOW,false,CLOSED
