cicd_event_id,timestamp,source_system,change_request_id,pr_id,event_type,actor_user_id,environment,result,commit_sha
CICD_000001,2026-01-06T12:25:34,GITHUB_ACTIONS_DEMO,RFC_00001,PR-2025,PR_OPENED,USR_0047,CI,SUCCESS,161916085e88
CICD_000002,2026-01-06T14:25:34,GITHUB_ACTIONS_DEMO,RFC_00001,PR-2025,TEST,USR_0019,CI,SUCCESS,1576eb382345
CICD_000003,2026-01-06T16:25:34,GITHUB_ACTIONS_DEMO,RFC_00001,PR-2025,APPROVAL,USR_0017,CI,APPROVED,6ff8b6978326
CICD_000004,2026-01-06T18:25:34,GITHUB_ACTIONS_DEMO,RFC_00001,PR-2025,DEPLOY_PROD,USR_0029,PROD,SUCCESS,c37eb6d6d6c1
CICD_000005,2026-01-05T12:01:24,GITHUB_ACTIONS_DEMO,RFC_00002,PR-1284,PR_OPENED,USR_0038,CI,SUCCESS,6e8e176c9f56
CICD_000006,2026-01-05T14:01:24,GITHUB_ACTIONS_DEMO,RFC_00002,PR-1284,TEST,USR_0008,CI,FAILED,c9709113e278
CICD_000007,2026-01-05T16:01:24,GITHUB_ACTIONS_DEMO,RFC_00002,PR-1284,APPROVAL,USR_0002,CI,APPROVED,a5a4df650f52
CICD_000008,2026-01-05T18:01:24,GITHUB_ACTIONS_DEMO,RFC_00002,PR-1284,DEPLOY_PROD,USR_0019,PROD,SUCCESS,abf921ce1c06
CICD_000009,2026-01-15T17:23:56,GITHUB_ACTIONS_DEMO,RFC_00003,PR-2868,PR_OPENED,USR_0006,CI,SUCCESS,ad71b104323d
CICD_000010,2026-01-15T19:23:56,GITHUB_ACTIONS_DEMO,RFC_00003,PR-2868,TEST,USR_0002,CI,FAILED,0adaf6de65cf
CICD_000011,2026-01-15T21:23:56,GITHUB_ACTIONS_DEMO,RFC_00003,PR-2868,APPROVAL,USR_0037,CI,APPROVED,e8a5e370cf72
CICD_000012,2026-01-15T23:23:56,GITHUB_ACTIONS_DEMO,RFC_00003,PR-2868,DEPLOY_PROD,USR_0042,PROD,SUCCESS,b1cc3f25a15f
CICD_000013,2026-01-05T02:22:35,GITHUB_ACTIONS_DEMO,RFC_00004,PR-7487,PR_OPENED,USR_0011,CI,SUCCESS,121d9800901c
CICD_000014,2026-01-05T04:22:35,GITHUB_ACTIONS_DEMO,RFC_00004,PR-7487,TEST,USR_0040,CI,SUCCESS,d5064f498c88
CICD_000015,2026-01-05T06:22:35,GITHUB_ACTIONS_DEMO,RFC_00004,PR-7487,APPROVAL,USR_0047,CI,APPROVED,db86e3b812d5
CICD_000016,2026-01-05T08:22:35,GITHUB_ACTIONS_DEMO,RFC_00004,PR-7487,DEPLOY_PROD,USR_0010,PROD,SUCCESS,6d363d5a79ca
CICD_000017,2026-01-15T09:39:29,GITHUB_ACTIONS_DEMO,RFC_00005,PR-3151,PR_OPENED,USR_0051,CI,SUCCESS,033ab759bcfe
CICD_000018,2026-01-15T11:39:29,GITHUB_ACTIONS_DEMO,RFC_00005,PR-3151,TEST,USR_0057,CI,SUCCESS,6b705311ff66
CICD_000019,2026-01-15T13:39:29,GITHUB_ACTIONS_DEMO,RFC_00005,PR-3151,APPROVAL,USR_0038,CI,APPROVED,a1f89d4802f5
CICD_000020,2026-01-15T15:39:29,GITHUB_ACTIONS_DEMO,RFC_00005,PR-3151,DEPLOY_PROD,USR_0055,PROD,SUCCESS,eafb21976756
CICD_000021,2026-01-07T15:26:04,GITHUB_ACTIONS_DEMO,RFC_00006,PR-8906,PR_OPENED,USR_0017,CI,SUCCESS,a32ead1d4132
CICD_000022,2026-01-07T17:26:04,GITHUB_ACTIONS_DEMO,RFC_00006,PR-8906,TEST,USR_0031,CI,SUCCESS,1163bd1f9a43
CICD_000023,2026-01-07T19:26:04,GITHUB_ACTIONS_DEMO,RFC_00006,PR-8906,APPROVAL,USR_0057,CI,APPROVED,f822d284a460
CICD_000024,2026-01-07T21:26:04,GITHUB_ACTIONS_DEMO,RFC_00006,PR-8906,DEPLOY_PROD,USR_0060,PROD,SUCCESS,aca2ac20fdc8
CICD_000025,2026-01-12T07:06:24,GITHUB_ACTIONS_DEMO,RFC_00007,PR-6365,PR_OPENED,USR_0017,CI,SUCCESS,a977fd6baea2
CICD_000026,2026-01-12T09:06:24,GITHUB_ACTIONS_DEMO,RFC_00007,PR-6365,TEST,USR_0013,CI,SUCCESS,0f904378e5c3
CICD_000027,2026-01-12T11:06:24,GITHUB_ACTIONS_DEMO,RFC_00007,PR-6365,APPROVAL,USR_0035,CI,APPROVED,8a8b87325ec6
CICD_000028,2026-01-12T13:06:24,GITHUB_ACTIONS_DEMO,RFC_00007,PR-6365,DEPLOY_PROD,USR_0042,PROD,SUCCESS,3a5b493f4d9d
CICD_000029,2026-01-05T06:24:39,GITHUB_ACTIONS_DEMO,RFC_00008,PR-8861,PR_OPENED,USR_0016,CI,SUCCESS,89ff9ee0bd2a
CICD_000030,2026-01-05T08:24:39,GITHUB_ACTIONS_DEMO,RFC_00008,PR-8861,TEST,USR_0031,CI,SUCCESS,f9f52d96b684
CICD_000031,2026-01-05T10:24:39,GITHUB_ACTIONS_DEMO,RFC_00008,PR-8861,APPROVAL,USR_0041,CI,APPROVED,30d2174e4c40
CICD_000032,2026-01-05T12:24:39,GITHUB_ACTIONS_DEMO,RFC_00008,PR-8861,DEPLOY_PROD,USR_0053,PROD,SUCCESS,cd092121f77f
CICD_000033,2026-01-08T13:45:20,GITHUB_ACTIONS_DEMO,RFC_00009,PR-7141,PR_OPENED,USR_0050,CI,SUCCESS,1e647078f91e
CICD_000034,2026-01-08T15:45:20,GITHUB_ACTIONS_DEMO,RFC_00009,PR-7141,TEST,USR_0006,CI,SUCCESS,84b4a21666ff
CICD_000035,2026-01-08T17:45:20,GITHUB_ACTIONS_DEMO,RFC_00009,PR-7141,APPROVAL,USR_0030,CI,APPROVED,cb0a23bc010a
CICD_000036,2026-01-08T19:45:20,GITHUB_ACTIONS_DEMO,RFC_00009,PR-7141,DEPLOY_PROD,USR_0047,PROD,SUCCESS,f06a38dcefa9
CICD_000037,2026-01-15T02:40:57,GITHUB_ACTIONS_DEMO,RFC_00010,PR-9871,PR_OPENED,USR_0060,CI,SUCCESS,ff3e28eabc37
CICD_000038,2026-01-15T04:40:57,GITHUB_ACTIONS_DEMO,RFC_00010,PR-9871,TEST,USR_0047,CI,SUCCESS,8492d61ca3ce
CICD_000039,2026-01-15T06:40:57,GITHUB_ACTIONS_DEMO,RFC_00010,PR-9871,APPROVAL,USR_0041,CI,APPROVED,902d55816e49
CICD_000040,2026-01-15T08:40:57,GITHUB_ACTIONS_DEMO,RFC_00010,PR-9871,DEPLOY_PROD,USR_0002,PROD,SUCCESS,47287c3cc46e
CICD_000041,2026-01-04T02:38:11,GITHUB_ACTIONS_DEMO,RFC_00011,PR-4301,PR_OPENED,USR_0032,CI,SUCCESS,de880a27ed92
CICD_000042,2026-01-04T04:38:11,GITHUB_ACTIONS_DEMO,RFC_00011,PR-4301,TEST,USR_0051,CI,FAILED,1a3f9ba59f43
CICD_000043,2026-01-04T06:38:11,GITHUB_ACTIONS_DEMO,RFC_00011,PR-4301,APPROVAL,USR_0033,CI,APPROVED,605d4302783c
