event_id,timestamp,source_system,actor_user_id,session_id,operation,object_type,object_name,trip_id,vehicle_vin,rows_affected,success,client_app,ip_class
DBE_000001,2026-01-01T10:36:37,POSTGRES_DEMO,USR_0037,SES-35068,SELECT,TABLE,trips,XANH_TRIP_7012,VF8VNF_0025,263,true,DataTrustOS,CORP_NET
DBE_000002,2026-01-01T07:31:31,POSTGRES_DEMO,USR_0017,SES-80239,SELECT,TABLE,drivers,XANH_TRIP_1143,VF8VNF_0011,3962,true,Metabase,CORP_NET
DBE_000003,2026-01-05T11:46:25,POSTGRES_DEMO,USR_0007,SES-10228,GRANT,TABLE,user_privileges,,,35,true,DBeaver,VPN
DBE_000004,2026-01-10T12:22:58,POSTGRES_DEMO,USR_0012,SES-61859,SELECT,TABLE,user_privileges,XANH_TRIP_3252,,4257,true,psql,CORP_NET
DBE_000005,2026-01-12T21:11:40,POSTGRES_DEMO,USR_0056,SES-15356,SELECT,TABLE,user_privileges,XANH_TRIP_8104,VF8VNF_0030,2256,true,Airflow,UNKNOWN
DBE_000006,2026-01-07T00:22:17,POSTGRES_DEMO,USR_0057,SES-98907,GRANT,TABLE,customers,,,47,true,DataTrustOS,UNKNOWN
DBE_000007,2026-01-03T17:40:07,POSTGRES_DEMO,USR_0023,SES-23662,SELECT,TABLE,user_privileges,,,3687,true,Metabase,UNKNOWN
DBE_000008,2026-01-11T20:05:40,POSTGRES_DEMO,USR_0023,SES-17141,EXPORT,TABLE,trips,XANH_TRIP_10225,VF8VNF_0042,3210,true,Metabase,UNKNOWN
DBE_000009,2026-01-14T14:40:09,POSTGRES_DEMO,USR_0005,SES-43087,SELECT,TABLE,customers,XANH_TRIP_6241,,4360,true,DataTrustOS,VPN
DBE_000010,2026-01-02T15:49:05,POSTGRES_DEMO,USR_0019,SES-32229,UPDATE,TABLE,user_privileges,,,21,true,DataTrustOS,VPN
DBE_000011,2026-01-06T09:14:25,POSTGRES_DEMO,USR_0004,SES-50812,UPDATE,TABLE,trips,,,6,true,Airflow,VPN
DBE_000012,2026-01-09T18:32:44,POSTGRES_DEMO,USR_0055,SES-22795,SELECT,TABLE,trips,XANH_TRIP_5946,,398,true,DataTrustOS,CORP_NET
DBE_000013,2026-01-06T00:20:57,POSTGRES_DEMO,USR_0017,SES-24947,SELECT,TABLE,drivers,XANH_TRIP_1010,,728,true,psql,VPN
DBE_000014,2026-01-05T17:37:47,POSTGRES_DEMO,USR_0037,SES-67416,UPDATE,TABLE,trips,XANH_TRIP_2206,VF8VNF_0049,2,true,psql,VPN
DBE_000015,2026-01-06T20:12:34,POSTGRES_DEMO,USR_0021,SES-64996,SELECT,TABLE,customers,XANH_TRIP_7752,VF8VNF_0046,3942,true,Metabase,VPN
DBE_000016,2026-01-04T15:29:29,POSTGRES_DEMO,USR_0008,SES-13914,EXPORT,TABLE,trips,,,2225,true,DBeaver,UNKNOWN
DBE_000017,2026-01-01T18:48:04,POSTGRES_DEMO,USR_0021,SES-67871,GRANT,TABLE,drivers,,,3,true,Metabase,CORP_NET
DBE_000018,2026-01-10T20:16:02,POSTGRES_DEMO,USR_0026,SES-31380,SELECT,TABLE,trips,XANH_TRIP_4109,VF8VNF_0004,1679,true,DBeaver,UNKNOWN
DBE_000019,2026-01-08T20:35:09,POSTGRES_DEMO,USR_0045,SES-26953,SELECT,TABLE,drivers,,,4224,true,psql,UNKNOWN
DBE_000020,2026-01-04T05:41:04,POSTGRES_DEMO,USR_0024,SES-26496,SELECT,TABLE,trips,XANH_TRIP_0256,VF8VNF_0029,4079,true,DataTrustOS,UNKNOWN
DBE_000021,2026-01-08T05:58:50,POSTGRES_DEMO,USR_0023,SES-36250,REVOKE,TABLE,trips,,,16,true,psql,UNKNOWN
