export_id,timestamp,source_event_id,actor_user_id,dataset,trip_id,record_count,contains_sensitive_data,masking_applied,legal_basis,approval_request_id,destination,retention_days
EXP_00001,2026-01-08T04:34:08,DBE_000857,USR_0014,drivers,,285,true,false,CONTRACT,ARQ_00069,EXTERNAL_PARTNER,7
EXP_00002,2026-01-11T15:43:51,DBE_000398,USR_0051,customers,XANH_TRIP_4479,4147,false,true,,ARQ_00078,SECURE_SHARE,30
EXP_00003,2026-01-06T00:35:09,DBE_000273,USR_0041,drivers,XANH_TRIP_1497,11765,false,true,,ARQ_00026,SECURE_SHARE,90
EXP_00004,2026-01-03T20:04:18,DBE_000100,USR_0003,finance_reconciliation,XANH_TRIP_4488,58,false,true,,ARQ_00080,SECURE_SHARE,30
EXP_00005,2026-01-02T02:15:35,DBE_000353,USR_0019,customers,XANH_TRIP_9834,19735,false,true,,ARQ_00050,SECURE_SHARE,90
EXP_00006,2026-01-01T21:21:19,DBE_000763,USR_0026,finance_reconciliation,,9478,true,true,LEGAL_OBLIGATION,ARQ_00062,INTERNAL_S3,30
EXP_00007,2026-01-14T14:40:09,DBE_000009,USR_0005,finance_reconciliation,XANH_TRIP_6241,10740,true,false,LEGAL_OBLIGATION,ARQ_00006,EXTERNAL_PARTNER,365
EXP_00008,2026-01-04T08:38:11,DBE_000335,USR_0040,finance_reconciliation,XANH_TRIP_6600,18925,true,false,LEGITIMATE_INTEREST,ARQ_00011,INTERNAL_S3,7
EXP_00009,2026-01-04T05:41:55,DBE_000360,USR_0021,finance_reconciliation,XANH_TRIP_7743,13398,true,true,CONTRACT,ARQ_00026,LOCAL_DOWNLOAD,7
EXP_00010,2026-01-03T00:53:19,DBE_000454,USR_0037,customers,XANH_TRIP_2425,19019,true,false,CONTRACT,ARQ_00043,LOCAL_DOWNLOAD,7
EXP_00011,2026-01-04T05:49:35,DBE_000902,USR_0016,drivers,,3473,true,true,,ARQ_00061,EXTERNAL_PARTNER,90
EXP_00012,2026-01-05T01:47:40,DBE_000950,USR_0050,drivers,XANH_TRIP_5786,12323,false,true,,ARQ_00011,INTERNAL_S3,90
EXP_00013,2026-01-12T07:07:29,DBE_000947,USR_0012,customers,XANH_TRIP_4064,14099,false,true,,,SECURE_SHARE,90
EXP_00014,2026-01-06T21:51:55,DBE_000311,USR_0051,finance_reconciliation,,13892,false,true,,ARQ_00033,EXTERNAL_PARTNER,90
EXP_00015,2026-01-13T07:47:20,DBE_001014,USR_0047,customers,XANH_TRIP_0084,3054,true,true,LEGAL_OBLIGATION,ARQ_00035,SECURE_SHARE,365
EXP_00016,2026-01-12T17:24:58,DBE_000359,USR_0008,trips,,19854,true,true,LEGITIMATE_INTEREST,,SECURE_SHARE,90
EXP_00017,2026-01-09T15:13:33,DBE_000521,USR_0053,drivers,XANH_TRIP_9844,6520,true,false,,ARQ_00065,LOCAL_DOWNLOAD,365
EXP_00018,2026-01-08T14:02:21,DBE_000232,USR_0036,drivers,,1387,false,true,,ARQ_00024,SECURE_SHARE,30
EXP_00019,2026-01-09T02:24:33,DBE_001100,USR_0022,customers,XANH_TRIP_8312,9368,true,true,,,SECURE_SHARE,365
EXP_00020,2026-01-10T02:34:13,DBE_000913,USR_0025,finance_reconciliation,,12025,false,true,,ARQ_00007,LOCAL_DOWNLOAD,90
EXP_00021,2026-01-05T21:20:14,DBE_000227,USR_0034,trips,,4464,true,false,,ARQ_00044,EXTERNAL_PARTNER,30
EXP_00022,2026-01-15T01:26:28,DBE_001017,USR_0034,customers,XANH_TRIP_1335,19169,true,true,LEGITIMATE_INTEREST,,EXTERNAL_PARTNER,30
EXP_00023,2026-01-08T18:07:41,DBE_000880,USR_0029,customers,XANH_TRIP_4232,15550,true,true,,ARQ_00054,INTERNAL_S3,30
EXP_00024,2026-01-14T11:37:18,DBE_000036,USR_0016,drivers,XANH_TRIP_8660,11037,false,true,,ARQ_00009,INTERNAL_S3,90
EXP_00025,2026-01-12T07:18:22,DBE_000312,USR_0038,trips,XANH_TRIP_8649,13895,true,true,LEGITIMATE_INTEREST,,SECURE_SHARE,90
EXP_00026,2026-01-13T01:30:51,DBE_001172,USR_0015,drivers,XANH_TRIP_4849,5977,false,true,,ARQ_00071,SECURE_SHARE,90
EXP_00027,2026-01-03T14:14:45,DBE_000557,USR_0056,customers,,2939,true,false,CONTRACT,ARQ_00045,EXTERNAL_PARTNER,365
EXP_00028,2026-01-09T02:24:33,DBE_001100,USR_0022,customers,XANH_TRIP_8312,4219,true,true,LEGITIMATE_INTEREST,ARQ_00031,LOCAL_DOWNLOAD,30
EXP_00029,2026-01-01T21:10:50,DBE_001167,USR_0028,trips,XANH_TRIP_2395,516,false,true,,ARQ_00029,INTERNAL_S3,7
EXP_00030,2026-01-06T21:32:14,DBE_001196,USR_0052,trips,XANH_TRIP_10132,19391,true,true,LEGAL_OBLIGATION,ARQ_00061,INTERNAL_S3,90
EXP_00031,2026-01-03T07:30:14,DBE_000131,USR_0036,customers,XANH_TRIP_8645,11546,false,true,,ARQ_00030,EXTERNAL_PARTNER,365
EXP_00032,2026-01-13T16:24:38,DBE_001031,USR_0012,drivers,XANH_TRIP_7175,19388,false,true,,ARQ_00076,LOCAL_DOWNLOAD,90
EXP_00033,2026-01-14T10:49:26,DBE_000419,USR_0035,finance_reconciliation,XANH_TRIP_9442,16098,false,true,,,SECURE_SHARE,30
