hr_event_id,user_id,event_type,effective_at,previous_department,new_department,source_system
HRE_00001,USR_0009,LEAVER,2026-01-03T17:12:41,Operations,,HRIS_DEMO
HRE_00002,USR_0018,LEAVER,2026-01-08T04:38:01,Customer Service,,HRIS_DEMO
HRE_00003,USR_0027,LEAVER,2026-01-13T23:30:22,Finance,,HRIS_DEMO
HRE_00004,USR_0044,LEAVER,2026-01-01T14:19:52,HR,,HRIS_DEMO
HRE_00005,USR_0058,LEAVER,2026-01-09T10:53:04,Finance,,HRIS_DEMO
HRE_00006,USR_0025,MOVER,2026-01-03T15:09:43,Finance,Legal,HRIS_DEMO
HRE_00007,USR_0025,JOINER,2026-01-11T12:41:14,,Legal,HRIS_DEMO
HRE_00008,USR_0031,JOINER,2026-01-04T03:34:00,,Finance,HRIS_DEMO
HRE_00009,USR_0013,JOINER,2026-01-14T09:47:37,,Legal,HRIS_DEMO
HRE_00010,USR_0052,MOVER,2026-01-15T03:06:28,Operations,Customer Service,HRIS_DEMO
HRE_00011,USR_0050,JOINER,2026-01-01T17:23:29,,Data Platform,HRIS_DEMO
HRE_00012,USR_0057,JOINER,2026-01-12T21:16:43,,Legal,HRIS_DEMO
HRE_00013,USR_0056,JOINER,2026-01-11T14:56:08,,Finance,HRIS_DEMO
HRE_00014,USR_0019,JOINER,2026-01-06T16:41:55,,Legal,HRIS_DEMO
HRE_00015,USR_0034,MOVER,2026-01-11T12:06:47,Engineering,Finance,HRIS_DEMO
HRE_00016,USR_0045,MOVER,2026-01-12T14:05:55,Legal,Engineering,HRIS_DEMO
HRE_00017,USR_0040,JOINER,2026-01-14T09:54:58,,Security,HRIS_DEMO
HRE_00018,USR_0031,JOINER,2026-01-10T06:22:03,,Finance,HRIS_DEMO
HRE_00019,USR_0047,JOINER,2026-01-11T04:18:17,,Data Platform,HRIS_DEMO
HRE_00020,USR_0048,JOINER,2026-01-06T17:51:27,,Security,HRIS_DEMO
HRE_00021,USR_0051,MOVER,2026-01-07T05:21:23,HR,Data Platform,HRIS_DEMO
HRE_00022,USR_0056,MOVER,2026-01-08T15:36:52,HR,Finance,HRIS_DEMO
HRE_00023,USR_0004,MOVER,2026-01-02T19:21:18,Data Platform,Finance,HRIS_DEMO
HRE_00024,USR_0039,MOVER,2026-01-05T07:48:11,Data Platform,Finance,HRIS_DEMO
HRE_00025,USR_0022,MOVER,2026-01-08T05:19:40,Finance,Legal,HRIS_DEMO
HRE_00026,USR_0026,MOVER,2026-01-12T01:52:36,Operations,HR,HRIS_DEMO
HRE_00027,USR_0005,MOVER,2026-01-03T22:47:07,Legal,Finance,HRIS_DEMO
HRE_00028,USR_0051,JOINER,2026-01-10T21:32:58,,Data Platform,HRIS_DEMO
HRE_00029,USR_0053,JOINER,2026-01-08T00:10:13,,Engineering,HRIS_DEMO
HRE_00030,USR_0052,MOVER,2026-01-09T16:11:19,HR,Customer Service,HRIS_DEMO
HRE_00031,USR_0029,JOINER,2026-01-14T18:05:10,,Security,HRIS_DEMO
HRE_00032,USR_0022,MOVER,2026-01-12T21:52:36,Data Platform,Legal,HRIS_DEMO
HRE_00033,USR_0060,JOINER,2026-01-08T04:18:22,,Legal,HRIS_DEMO
HRE_00034,USR_0039,JOINER,2026-01-09T07:34:43,,Finance,HRIS_DEMO
HRE_00035,USR_0020,JOINER,2026-01-11T19:45:33,,Data Platform,HRIS_DEMO
