run_id,dag_id,started_at,finished_at,status,source_system,input_records,silver_records,quarantine_records,rule_pass_count,rule_fail_count
RUN_000001,dq_trips,2026-01-08T15:23:45,2026-01-08T15:36:45,SUCCESS,AIRFLOW_DEMO,1312,1312,0,6,0
RUN_000002,dq_trips,2026-01-01T11:57:51,2026-01-01T12:10:51,SUCCESS,AIRFLOW_DEMO,1309,1309,0,8,2
RUN_000003,dq_trips,2026-01-10T19:22:09,2026-01-10T19:37:09,SUCCESS,AIRFLOW_DEMO,1496,1496,0,8,2
RUN_000004,ingest_trips,2026-01-09T01:37:13,2026-01-09T02:07:13,SUCCESS,AIRFLOW_DEMO,882,882,0,12,2
RUN_000005,evidence_collect,2026-01-10T19:01:48,2026-01-10T19:03:48,SUCCESS,AIRFLOW_DEMO,515,515,0,6,2
RUN_000006,privacy_transform,2026-01-08T11:17:08,2026-01-08T11:51:08,FAILED,AIRFLOW_DEMO,1197,1153,44,5,7
RUN_000007,privacy_transform,2026-01-03T21:10:38,2026-01-03T21:45:38,SUCCESS,AIRFLOW_DEMO,651,651,0,12,1
RUN_000008,privacy_transform,2026-01-11T04:38:16,2026-01-11T05:06:16,SUCCESS,AIRFLOW_DEMO,1398,1398,0,8,0
RUN_000009,dq_trips,2026-01-01T23:37:26,2026-01-02T00:15:26,SUCCESS,AIRFLOW_DEMO,1438,1438,0,6,1
RUN_000010,dq_trips,2026-01-06T07:41:28,2026-01-06T07:57:28,FAILED,AIRFLOW_DEMO,1688,1604,84,6,7
RUN_000011,dq_trips,2026-01-10T17:53:11,2026-01-10T18:30:11,FAILED,AIRFLOW_DEMO,1570,1463,107,3,5
RUN_000012,privacy_transform,2026-01-05T21:59:34,2026-01-05T22:04:34,FAILED,AIRFLOW_DEMO,515,490,25,3,4
RUN_000013,dq_trips,2026-01-01T12:36:45,2026-01-01T12:46:45,FAILED,AIRFLOW_DEMO,515,510,5,3,2
RUN_000014,privacy_transform,2026-01-14T22:23:45,2026-01-14T22:49:45,SUCCESS,AIRFLOW_DEMO,1695,1695,0,7,0
RUN_000015,ingest_trips,2026-01-13T22:44:32,2026-01-13T23:11:32,SUCCESS,AIRFLOW_DEMO,1105,1105,0,8,2
RUN_000016,evidence_collect,2026-01-14T11:48:51,2026-01-14T12:19:51,SUCCESS,AIRFLOW_DEMO,1084,1084,0,6,2
RUN_000017,evidence_collect,2026-01-15T02:33:31,2026-01-15T03:05:31,SUCCESS,AIRFLOW_DEMO,623,623,0,11,0
