privilege_id,user_id,role_id,dataset,privilege,scope,contains_sensitive_data,granted_at,expires_at,is_active,grant_source
PRV_00001,USR_0001,ROLE_ANALYST,control_results,EXPORT,GLOBAL,false,2026-01-14T09:00:28,2027-01-14T09:00:28,true,ACCESS_REQUEST
PRV_00002,USR_0002,ROLE_ANALYST,trips,ADMIN,OWN_TEAM,false,2026-01-12T17:46:54,2026-07-11T17:46:54,true,MIGRATION
PRV_00003,USR_0002,ROLE_ANALYST,trips,SELECT,OWN_TEAM,false,2026-01-07T14:50:59,2027-01-07T14:50:59,true,MIGRATION
PRV_00004,USR_0002,ROLE_ANALYST,db_audit_events,EXPORT,COUNTRY,false,2026-01-13T18:17:00,2027-01-13T18:17:00,true,ACCESS_REQUEST
PRV_00005,USR_0003,ROLE_VIEWER,drivers,SELECT,GLOBAL,true,2026-01-08T06:24:00,2026-04-08T06:24:00,true,MIGRATION
PRV_00006,USR_0004,ROLE_STEWARD,drivers,EXPORT,GLOBAL,true,2026-01-13T10:36:27,2026-04-13T10:36:27,true,ACCESS_REQUEST
PRV_00007,USR_0004,ROLE_STEWARD,trips,SELECT,COUNTRY,false,2026-01-02T17:56:19,2026-07-01T17:56:19,true,MANUAL_ADMIN
PRV_00008,USR_0005,ROLE_ANALYST,control_results,SELECT,DEPARTMENT,false,2026-01-07T08:32:41,2027-01-07T08:32:41,true,ACCESS_REQUEST
PRV_00009,USR_0006,ROLE_ANALYST,customers,SELECT,DEPARTMENT,true,2026-01-08T19:05:49,2026-04-08T19:05:49,true,ACCESS_REQUEST
PRV_00010,USR_0007,ROLE_VIEWER,drivers,EXPORT,COUNTRY,true,2026-01-11T17:16:45,2026-04-11T17:16:45,true,ACCESS_REQUEST
PRV_00011,USR_0007,ROLE_VIEWER,control_results,EXPORT,DEPARTMENT,false,2026-01-14T02:57:07,2027-01-14T02:57:07,true,ACCESS_REQUEST
PRV_00012,USR_0008,ROLE_DATA_ENGINEER,drivers,SELECT,GLOBAL,true,2026-01-04T05:43:03,2026-07-03T05:43:03,true,MANUAL_ADMIN
PRV_00013,USR_0008,ROLE_DATA_ENGINEER,drivers,SELECT,GLOBAL,true,2026-01-15T11:34:11,2027-01-15T11:34:11,true,MANUAL_ADMIN
PRV_00014,USR_0008,ROLE_DATA_ENGINEER,drivers,ADMIN,OWN_TEAM,true,2026-01-05T11:21:35,2026-04-05T11:21:35,true,ACCESS_REQUEST
PRV_00015,USR_0009,ROLE_DATA_ENGINEER,trips,SELECT,OWN_TEAM,false,2026-01-06T12:03:27,2026-07-05T12:03:27,true,ACCESS_REQUEST
PRV_00016,USR_0010,ROLE_ANALYST,db_audit_events,EXPORT,COUNTRY,false,2026-01-13T22:58:13,2026-07-12T22:58:13,true,MIGRATION
PRV_00017,USR_0011,ROLE_DATA_ENGINEER,trips,SELECT,OWN_TEAM,false,2026-01-14T11:11:01,2026-07-13T11:11:01,true,ACCESS_REQUEST
PRV_00018,USR_0011,ROLE_DATA_ENGINEER,trips,SELECT,DEPARTMENT,false,2026-01-11T16:58:04,2026-07-10T16:58:04,true,MIGRATION
PRV_00019,USR_0011,ROLE_DATA_ENGINEER,drivers,SELECT,DEPARTMENT,true,2026-01-03T02:27:13,2027-01-03T02:27:13,true,MIGRATION
PRV_00020,USR_0012,ROLE_DATA_ENGINEER,control_results,EXPORT,COUNTRY,false,2026-01-09T23:28:13,2026-04-09T23:28:13,true,ACCESS_REQUEST
PRV_00021,USR_0013,ROLE_VIEWER,db_audit_events,SELECT,DEPARTMENT,false,2026-01-06T05:59:06,2026-04-06T05:59:06,true,MANUAL_ADMIN
PRV_00022,USR_0013,ROLE_VIEWER,customers,ADMIN,COUNTRY,true,2026-01-05T14:30:59,2026-04-05T14:30:59,true,MANUAL_ADMIN
PRV_00023,USR_0013,ROLE_VIEWER,control_results,SELECT,OWN_TEAM,false,2026-01-04T04:57:31,2026-04-04T04:57:31,true,MIGRATION
PRV_00024,USR_0014,ROLE_DATA_ENGINEER,finance_reconciliation,EXPORT,GLOBAL,true,2026-01-01T10:45:03,2026-04-01T10:45:03,true,MIGRATION
PRV_00025,USR_0014,ROLE_DATA_ENGINEER,db_audit_events,UPDATE,COUNTRY,false,2026-01-13T05:49:03,2027-01-13T05:49:03,true,MANUAL_ADMIN
PRV_00026,USR_0015,ROLE_STEWARD,customers,EXPORT,GLOBAL,true,2026-01-06T11:46:03,2026-07-05T11:46:03,true,MANUAL_ADMIN
PRV_00027,USR_0016,ROLE_VIEWER,control_results,SELECT,GLOBAL,false,2026-01-05T04:03:05,2027-01-05T04:03:05,true,MANUAL_ADMIN
PRV_00028,USR_0016,ROLE_VIEWER,trips,SELECT,GLOBAL,false,2026-01-07T17:09:37,2026-07-06T17:09:37,true,MANUAL_ADMIN
