trip_id,vehicle_vin,driver_id,pickup_datetime,dropoff_datetime,assigned_day_index,trip_distance_km,fare_amount,currency_unverified,tip_amount,total_fare,pickup_latitude,pickup_longitude,vehicle_type,event_sequence_index
XANH_TRIP_0000,VF8VNF_0001,DRV_XANH_0001,2026-01-01T06:00:00,2026-01-01T06:16:00,0,10.944,542874.0,True,23647.0,566521.0,21.053811,105.811677,VF_e34_TAXI,0
XANH_TRIP_0001,VF8VNF_0001,DRV_XANH_0001,2026-01-01T06:29:00,2026-01-01T06:49:00,0,14.323,64486.0,True,78262.0,142748.0,20.979903,105.824104,VF_e34_TAXI,1
XANH_TRIP_0002,VF8VNF_0001,DRV_XANH_0001,2026-01-01T06:54:00,2026-01-01T07:14:00,0,1.287,229332.0,True,53866.0,283198.0,21.089797,105.824493,VF_e34_TAXI,2
XANH_TRIP_0003,VF8VNF_0001,DRV_XANH_0001,2026-01-01T07:19:00,2026-01-01T07:42:00,0,16.254,371937.0,True,30219.0,402156.0,21.084741,105.878944,VF_e34_TAXI,3
XANH_TRIP_0004,VF8VNF_0001,DRV_XANH_0001,2026-01-01T07:47:00,2026-01-01T08:09:00,0,5.633,181945.0,True,44421.0,226366.0,20.958814,105.886477,VF_e34_TAXI,4
XANH_TRIP_0005,VF8VNF_0001,DRV_XANH_0001,2026-01-01T09:15:00,2026-01-01T09:40:00,0,24.462,113157.0,True,45499.0,158656.0,21.052526,105.898007,VF_e34_TAXI,5
XANH_TRIP_0006,VF8VNF_0001,DRV_XANH_0001,2026-01-01T10:05:00,2026-01-01T10:30:00,0,16.737,244307.0,True,35897.0,280204.0,21.0865,105.861883,VF_e34_TAXI,6
XANH_TRIP_0007,VF8VNF_0001,DRV_XANH_0001,2026-01-01T10:35:00,2026-01-01T10:54:00,0,2.253,544439.0,True,26188.0,570627.0,20.999123,105.824775,VF_e34_TAXI,7
XANH_TRIP_0008,VF8VNF_0001,DRV_XANH_0001,2026-01-01T11:20:00,2026-01-01T11:36:00,0,7.564,84099.0,True,30498.0,114597.0,21.077764,105.831556,VF_e34_TAXI,8
XANH_TRIP_0009,VF8VNF_0001,DRV_XANH_0001,2026-01-01T11:41:00,2026-01-01T11:56:00,0,27.52,145791.0,True,18708.0,164499.0,21.037051,105.830533,VF_e34_TAXI,9
XANH_TRIP_0010,VF8VNF_0001,DRV_XANH_0001,2026-01-02T07:46:00,2026-01-02T08:02:00,1,31.704,338353.0,True,120419.0,458772.0,21.091038,105.774545,VF_e34_TAXI,0
XANH_TRIP_0011,VF8VNF_0001,DRV_XANH_0001,2026-01-02T12:56:00,2026-01-02T13:15:00,1,19.151,372831.0,True,14712.0,387543.0,20.986628,105.882926,VF_e34_TAXI,1
XANH_TRIP_0012,VF8VNF_0001,DRV_XANH_0001,2026-01-02T13:34:00,2026-01-02T13:57:00,1,1.287,370540.0,True,13574.0,384114.0,21.028779,105.79882,VF_e34_TAXI,2
XANH_TRIP_0013,VF8VNF_0001,DRV_XANH_0001,2026-01-02T14:08:00,2026-01-02T14:29:00,1,7.242,165628.0,True,47579.0,213207.0,21.07649,105.86255,VF_e34_TAXI,3
XANH_TRIP_0014,VF8VNF_0001,DRV_XANH_0001,2026-01-02T14:34:00,2026-01-02T14:59:00,1,16.737,402895.0,True,148784.0,551679.0,21.005146,105.865489,VF_e34_TAXI,4
XANH_TRIP_0015,VF8VNF_0001,DRV_XANH_0001,2026-01-02T15:38:00,2026-01-02T15:57:00,1,10.783,534101.0,True,17719.0,551820.0,20.966326,105.766622,VF_e34_TAXI,5
XANH_TRIP_0016,VF8VNF_0001,DRV_XANH_0001,2026-01-02T16:02:00,2026-01-02T16:27:00,1,23.014,306055.0,True,58867.0,364922.0,21.065448,105.824486,VF_e34_TAXI,6
XANH_TRIP_0017,VF8VNF_0001,DRV_XANH_0001,2026-01-02T16:32:00,2026-01-02T16:47:00,1,23.657,179095.0,True,16300.0,195395.0,21.004268,105.810815,VF_e34_TAXI,7
XANH_TRIP_0018,VF8VNF_0001,DRV_XANH_0001,2026-01-02T16:52:00,2026-01-02T17:12:00,1,17.703,446090.0,True,113462.0,559552.0,21.047063,105.764203,VF_e34_TAXI,8
XANH_TRIP_0019,VF8VNF_0001,DRV_XANH_0001,2026-01-03T06:00:00,2026-01-03T06:18:00,2,20.761,90693.0,True,135485.0,226178.0,21.084582,105.797737,VF_e34_TAXI,0
XANH_TRIP_0020,VF8VNF_0001,DRV_XANH_0001,2026-01-03T06:29:00,2026-01-03T06:53:00,2,30.578,181778.0,True,7720.0,189498.0,21.030867,105.892857,VF_e34_TAXI,1
XANH_TRIP_0021,VF8VNF_0001,DRV_XANH_0001,2026-01-03T06:58:00,2026-01-03T07:13:00,2,6.437,416697.0,True,20557.0,437254.0,20.987082,105.816288,VF_e34_TAXI,2
XANH_TRIP_0022,VF8VNF_0001,DRV_XANH_0001,2026-01-03T07:33:00,2026-01-03T07:55:00,2,4.345,50068.0,True,19533.0,69601.0,21.070676,105.894805,VF_e34_TAXI,3
XANH_TRIP_0023,VF8VNF_0001,DRV_XANH_0001,2026-01-03T08:23:00,2026-01-03T08:43:00,2,13.679,475371.0,True,71289.0,546660.0,21.00521,105.875868,VF_e34_TAXI,4
XANH_TRIP_0024,VF8VNF_0001,DRV_XANH_0001,2026-01-03T09:01:00,2026-01-03T09:25:00,2,21.404,443464.0,True,192198.0,635662.0,20.971495,105.898499,VF_e34_TAXI,5
XANH_TRIP_0025,VF8VNF_0001,DRV_XANH_0001,2026-01-03T09:33:00,2026-01-03T09:55:00,2,9.656,529687.0,True,17521.0,547208.0,21.043085,105.762351,VF_e34_TAXI,6
XANH_TRIP_0026,VF8VNF_0001,DRV_XANH_0001,2026-01-03T12:49:00,2026-01-03T13:11:00,2,23.014,94605.0,True,76006.0,170611.0,21.086374,105.846744,VF_e34_TAXI,7
XANH_TRIP_0027,VF8VNF_0001,DRV_XANH_0001,2026-01-03T13:16:00,2026-01-03T13:31:00,2,14.806,205024.0,True,8780.0,213804.0,20.977759,105.823456,VF_e34_TAXI,8
XANH_TRIP_0028,VF8VNF_0001,DRV_XANH_0001,2026-01-03T13:51:00,2026-01-03T14:11:00,2,14.323,82479.0,True,30169.0,112648.0,20.95394,105.81067,VF_e34_TAXI,9
XANH_TRIP_0029,VF8VNF_0001,DRV_XANH_0001,2026-01-03T14:16:00,2026-01-03T14:39:00,2,22.048,269118.0,True,43371.0,312489.0,20.979651,105.803222,VF_e34_TAXI,10
XANH_TRIP_0030,VF8VNF_0001,DRV_XANH_0001,2026-01-03T14:44:00,2026-01-03T14:59:00,2,28.646,57109.0,True,159983.0,217092.0,20.995241,105.891193,VF_e34_TAXI,11
XANH_TRIP_0031,VF8VNF_0001,DRV_XANH_0001,2026-01-03T15:04:00,2026-01-03T15:22:00,2,9.334,500070.0,True,5576.0,505646.0,21.000272,105.851761,VF_e34_TAXI,12
XANH_TRIP_0032,VF8VNF_0001,DRV_XANH_0001,2026-01-03T15:59:00,2026-01-03T16:17:00,2,16.254,58003.0,True,40183.0,98186.0,21.047201,105.843762,VF_e34_TAXI,13
XANH_TRIP_0033,VF8VNF_0001,DRV_XANH_0001,2026-01-03T16:22:00,2026-01-03T16:42:00,2,11.104,527619.0,True,15358.0,542977.0,20.978375,105.884643,VF_e34_TAXI,14
XANH_TRIP_0034,VF8VNF_0001,DRV_XANH_0001,2026-01-03T16:47:00,2026-01-03T17:05:00,2,1.127,307955.0,True,105157.0,413112.0,21.021757,105.890702,VF_e34_TAXI,15
XANH_TRIP_0035,VF8VNF_0001,DRV_XANH_0001,2026-01-03T17:10:00,2026-01-03T17:30:00,2,25.106,142103.0,True,47546.0,189649.0,21.030236,105.825578,VF_e34_TAXI,16
XANH_TRIP_0036,VF8VNF_0001,DRV_XANH_0001,2026-01-04T06:00:00,2026-01-04T06:18:00,3,8.047,530078.0,True,14760.0,544838.0,20.984606,105.810974,VF_e34_TAXI,0
XANH_TRIP_0037,VF8VNF_0001,DRV_XANH_0001,2026-01-04T06:23:00,2026-01-04T06:48:00,3,0.805,534436.0,True,56909.0,591345.0,20.957154,105.882893,VF_e34_TAXI,1
XANH_TRIP_0038,VF8VNF_0001,DRV_XANH_0001,2026-01-04T06:53:00,2026-01-04T07:14:00,3,16.576,463022.0,True,20703.0,483725.0,21.031817,105.839891,VF_e34_TAXI,2
XANH_TRIP_0039,VF8VNF_0001,DRV_XANH_0001,2026-01-04T07:19:00,2026-01-04T07:35:00,3,32.026,76779.0,True,13501.0,90280.0,20.99764,105.815831,VF_e34_TAXI,3
XANH_TRIP_0040,VF8VNF_0001,DRV_XANH_0001,2026-01-04T07:40:00,2026-01-04T07:57:00,3,19.312,95164.0,True,19833.0,114997.0,20.99935,105.802986,VF_e34_TAXI,4
XANH_TRIP_0041,VF8VNF_0001,DRV_XANH_0001,2026-01-04T08:52:00,2026-01-04T09:11:00,3,11.909,65044.0,True,10378.0,75422.0,20.955123,105.778489,VF_e34_TAXI,5
XANH_TRIP_0042,VF8VNF_0001,DRV_XANH_0001,2026-01-04T09:24:00,2026-01-04T09:43:00,3,15.128,104999.0,True,33679.0,138678.0,21.085048,105.801107,VF_e34_TAXI,6
XANH_TRIP_0043,VF8VNF_0001,DRV_XANH_0001,2026-01-04T10:01:00,2026-01-04T10:16:00,3,2.414,250063.0,True,106464.0,356527.0,20.973669,105.894177,VF_e34_TAXI,7
XANH_TRIP_0044,VF8VNF_0001,DRV_XANH_0001,2026-01-04T10:21:00,2026-01-04T10:43:00,3,9.012,410718.0,True,53828.0,464546.0,20.996593,105.786462,VF_e34_TAXI,8
