vehicle_vin,n_telemetry,n_charging,n_trips
VF8VNF_0001,1440,25,184
VF8VNF_0002,1440,23,182
VF8VNF_0003,1440,22,163
VF8VNF_0004,1440,24,170
VF8VNF_0005,1440,22,179
VF8VNF_0006,1440,19,152
VF8VNF_0007,1440,23,171
VF8VNF_0008,1440,22,170
VF8VNF_0009,1440,21,178
VF8VNF_0010,1440,21,185
VF8VNF_0011,1440,20,168
VF8VNF_0012,1440,18,149
VF8VNF_0013,1440,23,165
VF8VNF_0014,1440,23,193
VF8VNF_0015,1440,25,176
VF8VNF_0016,1440,21,163
VF8VNF_0017,1440,23,171
VF8VNF_0018,1440,22,158
VF8VNF_0019,1440,19,166
VF8VNF_0020,1440,24,180
VF8VNF_0021,1440,23,178
VF8VNF_0022,1440,21,159
VF8VNF_0023,1440,24,189
VF8VNF_0024,1440,20,165
VF8VNF_0025,1440,22,163
VF8VNF_0026,1440,20,174
VF8VNF_0027,1440,23,175
VF8VNF_0028,1440,21,178
VF8VNF_0029,1440,25,188
VF8VNF_0030,1440,23,172
VF8VNF_0031,1440,23,182
VF8VNF_0032,1440,20,176
VF8VNF_0033,1440,23,189
VF8VNF_0034,1440,23,182
VF8VNF_0035,1440,25,188
VF8VNF_0036,1440,23,186
VF8VNF_0037,1440,20,162
VF8VNF_0038,1440,23,173
VF8VNF_0039,1440,22,168
VF8VNF_0040,1440,21,168
VF8VNF_0041,1440,21,158
VF8VNF_0042,1440,20,179
VF8VNF_0043,1440,20,187
VF8VNF_0044,1440,23,174
VF8VNF_0045,1440,27,173
VF8VNF_0046,1440,24,176
VF8VNF_0047,1440,24,182
VF8VNF_0048,1440,24,184
VF8VNF_0049,1440,24,184
VF8VNF_0050,1440,25,185
VF8VNF_0051,1440,23,176
VF8VNF_0052,1440,17,136
VF8VNF_0053,1440,24,192
VF8VNF_0054,1440,23,179
VF8VNF_0055,1440,22,177
VF8VNF_0056,1440,25,186
VF8VNF_0057,1440,21,151
VF8VNF_0058,1440,19,142
VF8VNF_0059,1440,21,163
VF8VNF_0060,1440,19,160
