vehicle_vin,session_id,station_id,charger_id,start_time,duration_mins,kwh_consumed,power_kw,charging_pattern,assigned_day_index,station_temp_c,cost_vnd,status,soft_overlap_flag,event_sequence_index,subject_zone
VF8VNF_0001,2_39_78_367_2018-04-26 15:56:03.627143,VG_STA_0002_caltech,CA-494,2025-12-31T18:09:00,153.93333333333334,2.68,1.04,overnight_deep_charge,0,49.87,8308.0,COMPLETED,False,0,EU
VF8VNF_0001,2_39_90_440_2018-04-26 16:38:46.876156,VG_STA_0002_caltech,CA-500,2026-01-01T20:27:00,490.28333333333336,4.263,0.52,overnight_deep_charge,1,30.4,13215.0,COMPLETED,False,0,EU
VF8VNF_0001,2_39_128_18_2018-04-26 02:25:13.890489,VG_STA_0002_caltech,CA-308,2026-01-02T12:13:00,11.166666666666666,1.155,6.21,opportunity_fast_charge,1,43.53,3580.0,COMPLETED,False,1,EU
VF8VNF_0001,2_39_89_439_2018-04-26 17:26:50.303622,VG_STA_0002_caltech,CA-501,2026-01-02T18:33:00,463.73333333333335,18.861,2.44,overnight_deep_charge,2,34.02,58469.0,COMPLETED,False,0,EU
VF8VNF_0001,2_39_127_19_2018-04-27 14:14:38.589847,VG_STA_0002_caltech,CA-309,2026-01-03T11:51:00,69.75,3.981,3.42,opportunity_fast_charge,2,40.68,12341.0,COMPLETED,False,1,EU
VF8VNF_0001,2_39_123_557_2018-04-26 17:39:41.691514,VG_STA_0002_caltech,CA-503,2026-01-03T18:55:00,417.48333333333335,5.728,0.82,overnight_deep_charge,3,40.79,17757.0,COMPLETED,False,0,EU
VF8VNF_0001,2_39_131_30_2018-04-27 15:16:02.742679,VG_STA_0002_caltech,CA-305,2026-01-04T18:17:00,395.0833333333333,10.978,1.67,overnight_deep_charge,4,33.08,34032.0,COMPLETED,False,0,EU
VF8VNF_0001,2_39_124_22_2018-04-28 13:08:46.118367,VG_STA_0002_caltech,CA-312,2026-01-05T13:31:00,20.566666666666666,2.284,6.66,opportunity_fast_charge,4,38.44,7080.0,COMPLETED,False,1,EU
VF8VNF_0001,2_39_79_381_2018-04-27 16:38:51.959294,VG_STA_0002_caltech,CA-490,2026-01-05T20:15:00,238.41666666666666,2.485,0.63,overnight_deep_charge,5,42.13,7704.0,COMPLETED,False,0,EU
VF8VNF_0001,2_39_139_28_2018-04-28 17:46:54.027865,VG_STA_0002_caltech,CA-303,2026-01-06T12:22:00,71.26666666666667,7.292,6.14,opportunity_fast_charge,5,65.0,22605.0,COMPLETED,False,1,EU
VF8VNF_0001,2_39_78_363_2018-04-27 18:32:36.038417,VG_STA_0002_caltech,CA-320,2026-01-06T18:37:00,308.9166666666667,2.848,0.55,overnight_deep_charge,6,51.5,8829.0,COMPLETED,False,0,EU
VF8VNF_0001,2_39_125_21_2018-04-28 20:13:02.549509,VG_STA_0002_caltech,CA-311,2026-01-07T10:35:00,16.133333333333333,1.745,6.49,opportunity_fast_charge,6,25.82,5410.0,COMPLETED,False,1,EU
VF8VNF_0001,2_39_127_19_2018-04-29 17:25:13.845569,VG_STA_0002_caltech,CA-309,2026-01-07T18:47:00,163.83333333333334,8.838,3.24,overnight_deep_charge,7,42.3,27398.0,COMPLETED,False,0,EU
VF8VNF_0001,2_39_139_28_2018-04-30 15:36:43.210995,VG_STA_0002_caltech,CA-303,2026-01-08T21:47:00,260.15,5.494,1.27,overnight_deep_charge,8,65.0,17031.0,COMPLETED,False,0,EU
VF8VNF_0001,2_39_127_19_2018-04-29 20:26:32.616385,VG_STA_0002_caltech,CA-309,2026-01-09T10:15:00,78.86666666666666,8.84,6.73,opportunity_fast_charge,8,41.81,27404.0,COMPLETED,False,1,EU
