trip_id,vehicle_vin,driver_id,pickup_datetime,dropoff_datetime,assigned_day_index,trip_distance_km,fare_amount,currency_unverified,tip_amount,total_fare,pickup_latitude,pickup_longitude,vehicle_type,event_sequence_index,subject_zone
XANH_TRIP_0000,VF8VNF_0001,DRV_XANH_0001,2026-01-01T06:00:00,2026-01-01T06:16:00,0,10.944,542874.0,True,23647.0,566521.0,52.519207,13.361677,VF_e34_TAXI,0,EU
XANH_TRIP_0001,VF8VNF_0001,DRV_XANH_0001,2026-01-01T06:29:00,2026-01-01T06:49:00,0,14.323,64486.0,True,78262.0,142748.0,52.469935,13.374104,VF_e34_TAXI,1,EU
XANH_TRIP_0002,VF8VNF_0001,DRV_XANH_0001,2026-01-01T06:54:00,2026-01-01T07:14:00,0,1.287,229332.0,True,53866.0,283198.0,52.543198,13.374493,VF_e34_TAXI,2,EU
XANH_TRIP_0003,VF8VNF_0001,DRV_XANH_0001,2026-01-01T07:19:00,2026-01-01T07:42:00,0,16.254,371937.0,True,30219.0,402156.0,52.539827,13.428944,VF_e34_TAXI,3,EU
XANH_TRIP_0004,VF8VNF_0001,DRV_XANH_0001,2026-01-01T07:47:00,2026-01-01T08:09:00,0,5.633,181945.0,True,44421.0,226366.0,52.455876,13.436477,VF_e34_TAXI,4,EU
XANH_TRIP_0005,VF8VNF_0001,DRV_XANH_0001,2026-01-01T09:15:00,2026-01-01T09:40:00,0,24.462,113157.0,True,45499.0,158656.0,52.518351,13.448007,VF_e34_TAXI,5,EU
XANH_TRIP_0006,VF8VNF_0001,DRV_XANH_0001,2026-01-01T10:05:00,2026-01-01T10:30:00,0,16.737,244307.0,True,35897.0,280204.0,52.541000,13.411883,VF_e34_TAXI,6,EU
XANH_TRIP_0007,VF8VNF_0001,DRV_XANH_0001,2026-01-01T10:35:00,2026-01-01T10:54:00,0,2.253,544439.0,True,26188.0,570627.0,52.482749,13.374775,VF_e34_TAXI,7,EU
XANH_TRIP_0008,VF8VNF_0001,DRV_XANH_0001,2026-01-01T11:20:00,2026-01-01T11:36:00,0,7.564,84099.0,True,30498.0,114597.0,52.535176,13.381556,VF_e34_TAXI,8,EU
XANH_TRIP_0009,VF8VNF_0001,DRV_XANH_0001,2026-01-01T11:41:00,2026-01-01T11:56:00,0,27.52,145791.0,True,18708.0,164499.0,52.508034,13.380533,VF_e34_TAXI,9,EU
XANH_TRIP_0010,VF8VNF_0001,DRV_XANH_0001,2026-01-02T07:46:00,2026-01-02T08:02:00,1,31.704,338353.0,True,120419.0,458772.0,52.544025,13.324545,VF_e34_TAXI,0,EU
XANH_TRIP_0011,VF8VNF_0001,DRV_XANH_0001,2026-01-02T12:56:00,2026-01-02T13:15:00,1,19.151,372831.0,True,14712.0,387543.0,52.474419,13.432926,VF_e34_TAXI,1,EU
XANH_TRIP_0012,VF8VNF_0001,DRV_XANH_0001,2026-01-02T13:34:00,2026-01-02T13:57:00,1,1.287,370540.0,True,13574.0,384114.0,52.502519,13.348820,VF_e34_TAXI,2,EU
XANH_TRIP_0013,VF8VNF_0001,DRV_XANH_0001,2026-01-02T14:08:00,2026-01-02T14:29:00,1,7.242,165628.0,True,47579.0,213207.0,52.534327,13.412550,VF_e34_TAXI,3,EU
