vehicle_vin,vehicle_type,telemetry_equipped
VF8VNF_0001,VF_e34_TAXI,True
VF8VNF_0002,VF_5_TAXI,True
VF8VNF_0003,FELIZ_S_BIKE,True
VF8VNF_0004,VF_e34_TAXI,True
VF8VNF_0005,VF_5_TAXI,True
VF8VNF_0006,FELIZ_S_BIKE,True
VF8VNF_0007,VF_e34_TAXI,True
VF8VNF_0008,VF_e34_TAXI,True
VF8VNF_0009,VF_5_TAXI,True
VF8VNF_0010,VF_5_TAXI,True
VF8VNF_0011,VF_5_TAXI,True
VF8VNF_0012,FELIZ_S_BIKE,True
VF8VNF_0013,VF_e34_TAXI,True
VF8VNF_0014,VF_e34_TAXI,True
VF8VNF_0015,VF_5_TAXI,True
VF8VNF_0016,VF_5_TAXI,True
VF8VNF_0017,VF_e34_TAXI,True
VF8VNF_0018,VF_5_TAXI,True
VF8VNF_0019,VF_e34_TAXI,True
VF8VNF_0020,VF_e34_TAXI,True
VF8VNF_0021,VF_e34_TAXI,True
VF8VNF_0022,VF_5_TAXI,True
VF8VNF_0023,FELIZ_S_BIKE,True
VF8VNF_0024,FELIZ_S_BIKE,True
VF8VNF_0025,VF_e34_TAXI,True
VF8VNF_0026,VF_5_TAXI,True
VF8VNF_0027,VF_5_TAXI,True
VF8VNF_0028,VF_5_TAXI,True
VF8VNF_0029,VF_5_TAXI,True
VF8VNF_0030,VF_e34_TAXI,True
VF8VNF_0031,VF_e34_TAXI,True
VF8VNF_0032,FELIZ_S_BIKE,True
VF8VNF_0033,VF_5_TAXI,True
VF8VNF_0034,VF_5_TAXI,True
VF8VNF_0035,VF_5_TAXI,True
VF8VNF_0036,VF_5_TAXI,True
VF8VNF_0037,VF_5_TAXI,True
VF8VNF_0038,VF_5_TAXI,True
VF8VNF_0039,VF_5_TAXI,True
VF8VNF_0040,VF_e34_TAXI,True
VF8VNF_0041,VF_5_TAXI,True
VF8VNF_0042,VF_e34_TAXI,True
VF8VNF_0043,VF_e34_TAXI,True
VF8VNF_0044,VF_5_TAXI,True
VF8VNF_0045,VF_e34_TAXI,True
VF8VNF_0046,VF_e34_TAXI,True
VF8VNF_0047,VF_5_TAXI,True
VF8VNF_0048,VF_5_TAXI,True
VF8VNF_0049,VF_e34_TAXI,True
VF8VNF_0050,VF_5_TAXI,True
VF8VNF_0051,VF_5_TAXI,True
VF8VNF_0052,VF_5_TAXI,True
VF8VNF_0053,VF_e34_TAXI,True
VF8VNF_0054,VF_e34_TAXI,True
VF8VNF_0055,VF_e34_TAXI,True
VF8VNF_0056,VF_e34_TAXI,True
VF8VNF_0057,VF_5_TAXI,True
VF8VNF_0058,VF_e34_TAXI,True
VF8VNF_0059,VF_5_TAXI,True
VF8VNF_0060,VF_5_TAXI,True
