record_id,vehicle_vin,day_idx,sample_idx,timestamp,speed_kmh,motor_rpm,battery_soc,battery_voltage,battery_current,battery_temp_c,state_at_sample,assigned_day_index,ved_reference_veh_id,synthetic_gap_indicator,event_sequence_index,latitude,longitude,accel_z,telemetry_coverage
EV_REC_0000,VF8VNF_0001,0,0,2026-01-01T00:00:00,0.0,0,60.49,375.26,-37.79,42.0,CHARGING,0,10,False,0,21.024579,105.814032,0.0,full
EV_REC_0001,VF8VNF_0001,0,1,2026-01-01T00:15:00,0.0,0,62.93,373.35,-46.07,30.88,CHARGING,0,10,False,1,21.025282,105.824645,0.0,full
EV_REC_0002,VF8VNF_0001,0,2,2026-01-01T00:30:00,0.0,0,66.02,379.91,-28.85,27.03,CHARGING,0,10,False,2,21.02175,105.823186,0.0,full
EV_REC_0003,VF8VNF_0001,0,3,2026-01-01T00:45:00,0.0,0,67.65,373.69,-49.9,31.38,CHARGING,0,10,False,3,21.021206,105.823672,0.0,full
EV_REC_0004,VF8VNF_0001,0,4,2026-01-01T01:00:00,0.0,0,67.0,376.45,-44.87,30.81,CHARGING,0,10,False,4,21.022971,105.82572,0.0,full
EV_REC_0005,VF8VNF_0001,0,5,2026-01-01T01:15:00,0.0,0,70.4,380.18,-37.68,33.77,CHARGING,0,10,False,5,21.022976,105.823364,0.0,full
EV_REC_0006,VF8VNF_0001,0,6,2026-01-01T01:30:00,0.0,0,72.36,378.73,-65.36,35.63,CHARGING,0,10,False,6,21.024695,105.816377,0.0,full
EV_REC_0007,VF8VNF_0001,0,7,2026-01-01T01:45:00,0.0,0,73.69,379.44,-34.48,34.58,CHARGING,0,10,False,7,21.020809,105.831867,0.0,full
EV_REC_0008,VF8VNF_0001,0,8,2026-01-01T02:00:00,0.0,0,75.54,374.78,-62.71,39.11,CHARGING,0,10,False,8,21.023364,105.81321,0.0,full
EV_REC_0009,VF8VNF_0001,0,9,2026-01-01T02:15:00,0.0,0,78.28,372.65,-23.35,31.21,CHARGING,0,10,False,9,21.024818,105.827047,0.0,full
EV_REC_0010,VF8VNF_0001,0,10,2026-01-01T02:30:00,0.0,0,80.81,378.1,-30.31,27.3,CHARGING,0,10,False,10,21.030929,105.827231,0.0,full
EV_REC_0011,VF8VNF_0001,0,11,2026-01-01T02:45:00,0.0,0,83.61,375.14,-25.99,21.28,CHARGING,0,10,False,11,21.031739,105.825533,0.0,full
EV_REC_0012,VF8VNF_0001,0,12,2026-01-01T03:00:00,0.0,0,84.12,378.24,-50.12,40.8,CHARGING,0,10,False,12,21.03076,105.823515,0.0,full
EV_REC_0013,VF8VNF_0001,0,13,2026-01-01T03:15:00,0.0,0,85.86,375.27,-42.56,38.13,CHARGING,0,10,False,13,21.026325,105.819649,0.0,full
EV_REC_0014,VF8VNF_0001,0,14,2026-01-01T03:30:00,0.0,0,87.12,381.95,-36.96,25.67,CHARGING,0,10,False,14,21.021617,105.83051,0.0,full
EV_REC_0015,VF8VNF_0001,0,15,2026-01-01T03:45:00,0.0,0,88.21,378.39,-55.97,38.64,CHARGING,0,10,False,15,21.024802,105.8292,0.0,full
EV_REC_0016,VF8VNF_0001,0,16,2026-01-01T04:00:00,0.0,0,90.67,378.99,-50.47,41.07,CHARGING,0,10,False,16,21.026214,105.834836,0.0,full
EV_REC_0017,VF8VNF_0001,0,17,2026-01-01T04:15:00,0.0,0,93.17,374.34,1.45,30.89,IDLE,0,10,False,17,21.028143,105.818239,0.0,full
EV_REC_0018,VF8VNF_0001,0,18,2026-01-01T04:30:00,0.0,0,92.94,376.77,-2.48,27.53,IDLE,0,10,False,18,21.020248,105.821566,0.0,full
EV_REC_0019,VF8VNF_0001,0,19,2026-01-01T04:45:00,0.0,0,91.46,375.39,-1.44,33.37,IDLE,0,10,False,19,21.021441,105.843506,0.0,full
EV_REC_0020,VF8VNF_0001,0,20,2026-01-01T05:00:00,0.0,0,90.67,376.91,0.96,24.48,IDLE,0,10,False,20,21.023868,105.827931,0.0,full
EV_REC_0021,VF8VNF_0001,0,21,2026-01-01T05:15:00,0.0,0,92.78,379.66,-2.16,29.56,IDLE,0,10,False,21,21.024964,105.829709,0.0,full
EV_REC_0022,VF8VNF_0001,0,22,2026-01-01T05:30:00,0.0,0,92.58,382.95,0.66,28.69,IDLE,0,10,False,22,21.031691,105.821672,0.0,full
EV_REC_0023,VF8VNF_0001,0,23,2026-01-01T05:45:00,0.0,0,93.67,379.05,-4.69,30.32,IDLE,0,10,False,23,21.037209,105.827122,0.0,full
EV_REC_0024,VF8VNF_0001,0,24,2026-01-01T06:00:00,9.96,778,93.03,381.3,22.68,36.2,DEADHEAD,0,10,False,24,21.04426,105.858321,0.247,full
EV_REC_0025,VF8VNF_0001,0,25,2026-01-01T06:15:00,32.05,2390,92.76,377.23,21.97,33.82,DRIVING_PASSENGER,0,10,False,25,21.018063,105.840793,0.367,full
EV_REC_0026,VF8VNF_0001,0,26,2026-01-01T06:30:00,27.66,2071,90.17,380.95,29.17,32.52,DRIVING_PASSENGER,0,10,False,26,20.978362,105.798675,-0.852,full
EV_REC_0027,VF8VNF_0001,0,27,2026-01-01T06:45:00,0.0,0,88.41,377.54,2.71,26.53,IDLE,0,10,False,27,21.024979,105.823176,0.0,full
EV_REC_0028,VF8VNF_0001,0,28,2026-01-01T07:00:00,12.49,1002,88.9,377.85,22.8,29.59,DRIVING_PASSENGER,0,10,False,28,21.024231,105.830579,0.327,full
EV_REC_0029,VF8VNF_0001,0,29,2026-01-01T07:15:00,23.22,2015,87.99,380.65,5.19,24.8,DRIVING_PASSENGER,0,10,False,29,21.030257,105.829079,0.456,full
EV_REC_0030,VF8VNF_0001,0,30,2026-01-01T07:30:00,0.0,0,30.6,371.57,-1.0,28.61,IDLE,0,10,False,30,21.041821,105.823476,0.0,full
EV_REC_0031,VF8VNF_0001,0,31,2026-01-01T07:45:00,0.0,0,84.59,380.46,-0.15,32.05,IDLE,0,10,False,31,21.029505,105.819552,0.0,full
EV_REC_0032,VF8VNF_0001,0,32,2026-01-01T08:00:00,0.0,0,28.83,370.46,2.66,26.72,IDLE,0,10,False,32,21.034137,105.818745,0.0,full
EV_REC_0033,VF8VNF_0001,0,33,2026-01-01T08:15:00,0.0,0,31.78,369.51,2.87,29.97,IDLE,0,10,False,33,21.022673,105.820815,0.0,full
EV_REC_0034,VF8VNF_0001,0,34,2026-01-01T08:30:00,0.0,0,81.59,379.08,1.09,32.97,IDLE,0,10,False,34,21.024115,105.837911,0.0,full
