record_id,vehicle_vin,day_idx,sample_idx,timestamp,speed_kmh,motor_rpm,battery_soc,battery_voltage,battery_current,battery_temp_c,state_at_sample,assigned_day_index,ved_reference_veh_id,synthetic_gap_indicator,event_sequence_index,latitude,longitude,accel_z,telemetry_coverage,subject_zone
EV_REC_0000,VF8VNF_0001,0,0,2026-01-01T00:00:00,0.0,0,60.49,375.26,-37.79,42.0,CHARGING,0,10,False,0,52.499719,13.364032,0.0,full,EU
EV_REC_0001,VF8VNF_0001,0,1,2026-01-01T00:15:00,0.0,0,62.93,373.35,-46.07,30.88,CHARGING,0,10,False,1,52.500188,13.374645,0.0,full,EU
EV_REC_0002,VF8VNF_0001,0,2,2026-01-01T00:30:00,0.0,0,66.02,379.91,-28.85,27.03,CHARGING,0,10,False,2,52.497833,13.373186,0.0,full,EU
EV_REC_0003,VF8VNF_0001,0,3,2026-01-01T00:45:00,0.0,0,67.65,373.69,-49.9,31.38,CHARGING,0,10,False,3,52.497471,13.373672,0.0,full,EU
EV_REC_0004,VF8VNF_0001,0,4,2026-01-01T01:00:00,0.0,0,67.0,376.45,-44.87,30.81,CHARGING,0,10,False,4,52.498647,13.375720,0.0,full,EU
EV_REC_0005,VF8VNF_0001,0,5,2026-01-01T01:15:00,0.0,0,70.4,380.18,-37.68,33.77,CHARGING,0,10,False,5,52.498651,13.373364,0.0,full,EU
EV_REC_0006,VF8VNF_0001,0,6,2026-01-01T01:30:00,0.0,0,72.36,378.73,-65.36,35.63,CHARGING,0,10,False,6,52.499797,13.366377,0.0,full,EU
EV_REC_0007,VF8VNF_0001,0,7,2026-01-01T01:45:00,0.0,0,73.69,379.44,-34.48,34.58,CHARGING,0,10,False,7,52.497206,13.381867,0.0,full,EU
EV_REC_0008,VF8VNF_0001,0,8,2026-01-01T02:00:00,0.0,0,75.54,374.78,-62.71,39.11,CHARGING,0,10,False,8,52.498909,13.363210,0.0,full,EU
EV_REC_0009,VF8VNF_0001,0,9,2026-01-01T02:15:00,0.0,0,78.28,372.65,-23.35,31.21,CHARGING,0,10,False,9,52.499879,13.377047,0.0,full,EU
EV_REC_0010,VF8VNF_0001,0,10,2026-01-01T02:30:00,0.0,0,80.81,378.1,-30.31,27.3,CHARGING,0,10,False,10,52.503953,13.377231,0.0,full,EU
EV_REC_0011,VF8VNF_0001,0,11,2026-01-01T02:45:00,0.0,0,83.61,375.14,-25.99,21.28,CHARGING,0,10,False,11,52.504493,13.375533,0.0,full,EU
EV_REC_0012,VF8VNF_0001,0,12,2026-01-01T03:00:00,0.0,0,84.12,378.24,-50.12,40.8,CHARGING,0,10,False,12,52.503840,13.373515,0.0,full,EU
EV_REC_0013,VF8VNF_0001,0,13,2026-01-01T03:15:00,0.0,0,85.86,375.27,-42.56,38.13,CHARGING,0,10,False,13,52.500883,13.369649,0.0,full,EU
EV_REC_0014,VF8VNF_0001,0,14,2026-01-01T03:30:00,0.0,0,87.12,381.95,-36.96,25.67,CHARGING,0,10,False,14,52.497745,13.380510,0.0,full,EU
EV_REC_0015,VF8VNF_0001,0,15,2026-01-01T03:45:00,0.0,0,88.21,378.39,-55.97,38.64,CHARGING,0,10,False,15,52.499868,13.379200,0.0,full,EU
EV_REC_0016,VF8VNF_0001,0,16,2026-01-01T04:00:00,0.0,0,90.67,378.99,-50.47,41.07,CHARGING,0,10,False,16,52.500809,13.384836,0.0,full,EU
EV_REC_0017,VF8VNF_0001,0,17,2026-01-01T04:15:00,0.0,0,93.17,374.34,1.45,30.89,IDLE,0,10,False,17,52.502095,13.368239,0.0,full,EU
EV_REC_0018,VF8VNF_0001,0,18,2026-01-01T04:30:00,0.0,0,92.94,376.77,-2.48,27.53,IDLE,0,10,False,18,52.496832,13.371566,0.0,full,EU
